CHR,GeneName,TranscriptId,allhetRA,sum_homAA,homAlt_aaf,comp_het,compHet_aaf,sum_KO,inExternalDataset
16,AC099489.1,ENST00000598234,9148,102,0.003167435,19,1.99E-05,121,TRUE
8,AC100868.1,ENST00000262283,12075,382,0.005983255,5,5.24E-06,387,TRUE
3,AC104452.1,ENST00000636166,373,1,6.61E-06,0,0,1,FALSE
3,AC109583.1,ENST00000460241,594,3,0.000202323,0,0,3,TRUE
19,AC119396.1,ENST00000671891,1934,4,0.000415839,0,0,4,TRUE
8,AC144573.1,ENST00000647937,392,4,0.000110323,0,0,4,TRUE
18,ACAA2,ENST00000285093,593,1,1.68E-05,0,0,1,FALSE
12,ACACB,ENST00000338432,2503,2,4.22E-05,0,0,2,TRUE
12,ACAD10,ENST00000313698,5101,14,0.001391868,5,5.24E-06,19,TRUE
3,ACAD11,ENST00000264990,34875,9,0.000647636,0,0,9,TRUE
2,ACADL,ENST00000233710,1462,2,0.000250108,2,2.09E-06,4,TRUE
1,ACADM,ENST00000370841,493,1,2.14E-05,0,0,1,TRUE
10,ACADSB,ENST00000358776,1673,5,0.000567043,0,0,5,TRUE
17,ACAP1,ENST00000158762,358,1,4.98E-05,0,0,1,FALSE
10,ACBD7,ENST00000356189,573,9,0.0002923,0,0,9,TRUE
11,ACCS,ENST00000263776,549,1,2.80E-05,0,0,1,FALSE
11,ACCSL,ENST00000378832,755,3,7.17E-05,0,0,3,TRUE
9,ACO1,ENST00000309951,936,3,3.71E-05,0,0,3,TRUE
14,ACOT1,ENST00000311148,10,3,7.63E-06,0,0,3,TRUE
1,ACOT11,ENST00000343744,1253,1,6.51E-05,0,0,1,TRUE
5,ACOT12,ENST00000307624,1786,2,2.69E-05,0,0,2,FALSE
6,ACOT13,ENST00000230048,1833,7,0.000566814,0,0,7,TRUE
14,ACOT4,ENST00000326303,550130,2,0.000398548,0,0,2,TRUE
20,ACOT8,ENST00000217455,13311,320,0.006202901,18,1.89E-05,338,TRUE
3,ACOX2,ENST00000302819,4979,5,0.002229172,0,0,5,TRUE
4,ACOX3,ENST00000356406,1327,3,0.000100655,0,0,3,TRUE
2,ACOXL,ENST00000439055,18569,92,0.009027848,18,1.89E-05,110,TRUE
3,ACP3,ENST00000336375,2052,4,0.000763036,0,0,4,TRUE
12,ACRBP,ENST00000229243,1746,2,0.000539357,0,0,2,FALSE
19,ACSBG2,ENST00000591403,2705,9,0.000667053,2,2.09E-06,11,TRUE
16,ACSM1,ENST00000307493,2501,2,0.000343644,0,0,2,TRUE
16,ACSM2A,ENST00000573854,35402,85,0.007106708,16,1.68E-05,101,TRUE
16,ACSM2B,ENST00000329697,1956,14,0.00074778,0,0,14,TRUE
16,ACSM3,ENST00000289416,22829,153,0.010991649,20,2.09E-05,173,TRUE
12,ACSM4,ENST00000399422,92638,4,0.000605964,4,4.19E-06,8,TRUE
16,ACSM5,ENST00000331849,1392,8,0.000285188,4,4.19E-06,12,FALSE
10,ACSM6,ENST00000341686,1898,4,0.00010472,0,0,4,TRUE
11,ACTN3,ENST00000513398,462041,39,0.001771085,11,1.15E-05,50,TRUE
14,ACTR10,ENST00000254286,547,1,7.63E-06,0,0,1,FALSE
2,ACTR1B,ENST00000289228,475,1,0.000138829,0,0,1,FALSE
22,ADA2,ENST00000399837,903,1,0.000101163,0,0,1,FALSE
4,ADAD1,ENST00000296513,557,1,0.000201311,0,0,1,FALSE
15,ADAL,ENST00000562188,611,1,3.05E-06,0,0,1,TRUE
10,ADAM12,ENST00000368679,467,1,2.19E-05,0,0,1,FALSE
8,ADAM18,ENST00000265707,3489,2,0.000540444,4,4.19E-06,6,TRUE
8,ADAM2,ENST00000265708,17031,119,0.008397923,17,1.78E-05,136,TRUE
8,ADAM28,ENST00000265769,1315,0,NA,2,2.09E-06,2,TRUE
20,ADAM33,ENST00000356518,87785,5,0.000250108,0,0,5,TRUE
8,ADAM7,ENST00000175238,2299,6,0.000542526,2,2.09E-06,8,TRUE
10,ADAM8,ENST00000445355,8926,11,0.002626137,10,1.05E-05,21,TRUE
8,ADAMDEC1,ENST00000256412,922,1,0.000109804,0,0,1,FALSE
5,ADAMTS12,ENST00000504830,1457,1,2.54E-06,0,0,1,TRUE
10,ADAMTS14,ENST00000373207,1200,2,1.63E-05,0,0,2,FALSE
11,ADAMTS15,ENST00000299164,241,1,7.12E-06,0,0,1,FALSE
15,ADAMTS17,ENST00000268070,788,1,4.07E-06,0,0,1,TRUE
16,ADAMTS18,ENST00000282849,1392,2,8.64E-06,0,0,2,FALSE
5,ADAMTS19,ENST00000274487,490,1,7.63E-06,0,0,1,FALSE
12,ADAMTS20,ENST00000389420,2904,5,0.000143355,2,2.09E-06,7,TRUE
21,ADAMTS5,ENST00000284987,346,1,1.53E-06,0,0,1,FALSE
11,ADAMTS8,ENST00000257359,588,1,2.29E-05,0,0,1,TRUE
9,ADAMTSL1,ENST00000380548,524,1,2.14E-05,0,0,1,FALSE
1,ADAMTSL4,ENST00000271643,1166,1,4.07E-06,2,2.09E-06,3,TRUE
19,ADAMTSL5,ENST00000330475,1252,2,6.61E-06,0,0,2,FALSE
17,ADAP2,ENST00000330889,1609,5,0.00035897,0,0,5,TRUE
16,ADAT1,ENST00000307921,873,2,0.000137254,0,0,2,TRUE
14,ADCK1,ENST00000238561,710,1,8.13E-05,0,0,1,TRUE
7,ADCK2,ENST00000072869,10106,31,0.004317454,9,9.42E-06,40,TRUE
1,ADCY10,ENST00000367851,1819,4,0.000204869,3,3.14E-06,7,TRUE
14,ADCY4,ENST00000418030,1676,3,0.000281647,0,0,3,TRUE
16,ADCY7,ENST00000673801,1108,2,0.000346694,0,0,2,TRUE
6,ADGB,ENST00000397944,2739,8,0.000610544,0,0,8,TRUE
19,ADGRE1,ENST00000312053,2248,4,0.000617648,0,0,4,TRUE
19,ADGRE2,ENST00000315576,4609,456,0.001187742,4,4.19E-06,460,TRUE
19,ADGRE3,ENST00000253673,1882,5,0.00018811,0,0,5,TRUE
6,ADGRF1,ENST00000371253,1186,2,1.42E-05,0,0,2,FALSE
6,ADGRF2,ENST00000398742,1658,3,0.000347713,0,0,3,TRUE
2,ADGRF3,ENST00000333478,13323,44,0.005848551,7,7.33E-06,51,TRUE
6,ADGRF4,ENST00000283303,1291,3,4.58E-05,0,0,3,TRUE
23,ADGRG4,ENST00000394143,2053,1,5.59E-06,0,0,1,TRUE
3,ADGRG7,ENST00000273352,2048,1,4.07E-05,0,0,1,TRUE
1,ADGRL4,ENST00000370742,807,4,3.66E-05,0,0,4,TRUE
5,ADGRV1,ENST00000405460,2543,3,1.47E-05,0,0,3,TRUE
4,ADH4,ENST00000265512,1575,21,0.000577172,7,7.33E-06,28,TRUE
4,ADH6,ENST00000394899,846,2,0.000327391,0,0,2,TRUE
8,ADHFE1,ENST00000396623,2844,27,0.001166153,0,0,27,TRUE
2,ADI1,ENST00000327435,535,1,2.90E-05,0,0,1,FALSE
3,ADPRH,ENST00000478399,6244,12,0.00284218,3,3.14E-06,15,TRUE
13,ADPRHL1,ENST00000375418,1285,2,0.000217065,0,0,2,TRUE
17,ADPRM,ENST00000379774,367,1,0.000124547,0,0,1,FALSE
2,ADRA2B,ENST00000620793,441,2,3.05E-06,0,0,2,FALSE
8,ADRB3,ENST00000345060,461,4,0.000110323,0,0,4,TRUE
20,ADRM1,ENST00000253003,16889,617,0.009204394,0,0,617,TRUE
14,ADSS1,ENST00000330877,1891,1,0.000449381,0,0,1,TRUE
7,AEBP1,ENST00000223357,14612,65,0.007184032,4,4.19E-06,69,TRUE
5,AFAP1L1,ENST00000296721,733,1,3.05E-06,0,0,1,FALSE
6,AFG1L,ENST00000368977,1462,1,0.000255207,0,0,1,TRUE
4,AFM,ENST00000226355,3993,4,0.001226532,4,4.19E-06,8,TRUE
17,AFMID,ENST00000409257,5399,9,0.00244722,0,0,9,TRUE
4,AFP,ENST00000395792,581,1,2.75E-05,0,0,1,FALSE
2,AFTPH,ENST00000238856,151,1,3.81E-05,0,0,1,FALSE
10,AGAP5,ENST00000374094,2167,16,0.00108024,0,0,16,TRUE
10,AGAP6,ENST00000412531,326990,1,1.63E-05,0,0,1,TRUE
10,AGAP9,ENST00000452145,58,1,2.03E-06,0,0,1,TRUE
15,AGBL1,ENST00000441037,11057,25,0.004557379,26,2.72E-05,51,TRUE
11,AGBL2,ENST00000525123,2005,4,0.000186564,5,5.24E-06,9,TRUE
7,AGBL3,ENST00000436302,2403,3,0.000110318,0,0,3,TRUE
1,AGBL4,ENST00000371839,532,1,1.58E-05,0,0,1,FALSE
2,AGBL5,ENST00000360131,560,2,6.15E-05,0,0,2,FALSE
6,AGER,ENST00000375076,1733,2,0.000233333,0,0,2,FALSE
5,AGGF1,ENST00000312916,578,1,1.02E-06,0,0,1,FALSE
1,AGL,ENST00000361915,1976,0,NA,2,2.09E-06,2,TRUE
1,AGMAT,ENST00000375826,1351,2,2.95E-05,0,0,2,FALSE
7,AGMO,ENST00000342526,11857,25,0.004666249,11,1.15E-05,36,TRUE
7,AGR3,ENST00000310398,2835,1,0.000970493,3,3.14E-06,4,TRUE
1,AGRN,ENST00000379370,456,1,3.00E-05,0,0,1,TRUE
5,AGXT2,ENST00000231420,27032,2,8.85E-05,0,0,2,TRUE
1,AHCTF1,ENST00000648844,22326,5,0.000952842,0,0,5,TRUE
6,AHI1,ENST00000265602,2164,10,0.00012659,0,0,10,TRUE
11,AHNAK,ENST00000378024,442,1,1.58E-05,0,0,1,FALSE
14,AHNAK2,ENST00000333244,323,0,NA,3,3.14E-06,3,FALSE
1,AIDA,ENST00000340020,101,1,5.08E-06,0,0,1,FALSE
22,AIFM3,ENST00000399167,1392,3,8.69E-05,0,0,3,TRUE
1,AIM2,ENST00000368130,7718,15,0.00364796,4,4.19E-06,19,TRUE
21,AIRE,ENST00000291582,3069,4,0.00098676,0,0,4,TRUE
9,AK3,ENST00000381809,401,1,3.56E-06,0,0,1,FALSE
14,AK7,ENST00000267584,667,1,2.03E-06,0,0,1,FALSE
6,AK9,ENST00000424296,2698,1,3.56E-06,0,0,1,TRUE
1,AKNAD1,ENST00000370001,2332,10,0.000708083,0,0,10,TRUE
1,AKR1A1,ENST00000351829,917,1,5.59E-06,0,0,1,FALSE
7,AKR1B10,ENST00000359579,1011,4,0.000337543,0,0,4,TRUE
7,AKR1B15,ENST00000457545,373,2,1.12E-05,0,0,2,TRUE
10,AKR1C1,ENST00000380872,610,5,0.000182497,0,0,5,TRUE
10,AKR1C2,ENST00000380753,827,1,3.51E-05,0,0,1,TRUE
