CHR,GeneName,TranscriptId,allhetRA,sum_homAA,homAlt_aaf,comp_het,compHet_aaf,sum_KO,inExternalDataset
2,CNNM4,ENST00000377075,336,1,9.66E-06,0,0,1,FALSE
7,CNPY4,ENST00000262932,1989,8,0.00033246,0,0,8,FALSE
19,CNTD2,ENST00000430325,585,2,0.000208932,0,0,2,TRUE
9,CNTLN,ENST00000380647,9093,22,0.003460386,19,1.99E-05,41,TRUE
12,CNTN1,ENST00000551295,227,1,2.80E-05,0,0,1,TRUE
1,CNTN2,ENST00000331830,544,1,3.56E-06,0,0,1,TRUE
3,CNTN6,ENST00000446702,2635,3,0.000447352,3,3.14E-06,6,TRUE
9,CNTNAP3,ENST00000297668,237,1,3.05E-06,0,0,1,TRUE
16,CNTNAP4,ENST00000611870,488,1,8.19E-05,0,0,1,TRUE
9,CNTRL,ENST00000373855,3250,2,2.44E-05,2,2.09E-06,4,TRUE
17,CNTROB,ENST00000563694,932,1,9.66E-06,0,0,1,TRUE
17,COASY,ENST00000393818,2602,1,0.000959833,0,0,1,FALSE
7,COBL,ENST00000265136,413,1,2.24E-05,0,0,1,FALSE
14,COCH,ENST00000396618,320,1,1.53E-06,0,0,1,FALSE
7,COG5,ENST00000297135,1003,1,6.30E-05,0,0,1,FALSE
13,COG6,ENST00000455146,540,1,8.15E-06,0,0,1,FALSE
17,COIL,ENST00000240316,471,1,8.49E-05,0,0,1,TRUE
6,COL10A1,ENST00000651968,330,1,5.34E-05,0,0,1,FALSE
10,COL13A1,ENST00000645393,1972,4,0.000708131,0,0,4,TRUE
9,COL15A1,ENST00000375001,3458,14,0.001109881,2,2.09E-06,16,TRUE
1,COL16A1,ENST00000373672,17103,976,0.009123927,9,9.42E-06,985,TRUE
10,COL17A1,ENST00000648076,2035,1,4.27E-05,0,0,1,FALSE
21,COL18A1,ENST00000651438,1518,0,NA,2,2.09E-06,2,TRUE
6,COL19A1,ENST00000620364,1095,1,7.63E-06,0,0,1,FALSE
7,COL1A2,ENST00000297268,199,1,3.31E-05,0,0,1,TRUE
20,COL20A1,ENST00000358894,3363,4,7.93E-05,0,0,4,TRUE
6,COL21A1,ENST00000244728,2755,3,0.000259629,3,3.14E-06,6,TRUE
8,COL22A1,ENST00000303045,5028,23,0.001743215,4,4.19E-06,27,TRUE
5,COL23A1,ENST00000390654,8738,27,0.004086202,7,7.33E-06,34,TRUE
1,COL24A1,ENST00000370571,1937,1,5.08E-06,0,0,1,FALSE
7,COL26A1,ENST00000313669,487,1,2.29E-05,0,0,1,FALSE
7,COL28A1,ENST00000399429,10172,143,0.004511796,4,4.19E-06,147,TRUE
19,COL5A3,ENST00000264828,1206,3,4.73E-05,0,0,3,TRUE
3,COL6A5,ENST00000265379,77786,165,0.010338705,123,0.00012879,288,TRUE
3,COL6A6,ENST00000358511,9968,23,0.003535281,29,3.04E-05,52,TRUE
3,COL7A1,ENST00000328333,3653,11,0.000121499,0,0,11,TRUE
8,COLEC10,ENST00000332843,270,1,1.02E-06,0,0,1,FALSE
3,COLQ,ENST00000383788,656,1,4.98E-05,0,0,1,FALSE
10,COMMD3,ENST00000376836,1301,2,0.000387372,0,0,2,TRUE
10,COMMD3-BMI1,ENST00000602390,1300,1,0.000384322,0,0,1,TRUE
19,COMP,ENST00000222271,868,2,3.05E-06,0,0,2,FALSE
12,COQ10A,ENST00000308197,286,1,1.32E-05,0,0,1,TRUE
6,COQ3,ENST00000254759,1396,3,0.000590261,0,0,3,FALSE
4,CORIN,ENST00000273857,1908,2,4.88E-05,3,3.14E-06,5,TRUE
11,CORO1B,ENST00000341356,550,1,2.03E-06,0,0,1,FALSE
9,CORO2A,ENST00000375077,715,2,7.27E-05,0,0,2,FALSE
16,CORO7,ENST00000251166,3157,2,2.14E-05,3,3.14E-06,5,TRUE
16,CORO7-PAM16,ENST00000572467,3215,2,2.14E-05,3,3.14E-06,5,TRUE
4,COX18,ENST00000507544,11514,2,0.002853064,10,1.05E-05,12,TRUE
16,COX6A2,ENST00000287490,347,1,0.000132179,0,0,1,FALSE
19,COX6B2,ENST00000326529,8496,45,0.004308927,4,4.19E-06,49,TRUE
6,COX7A2,ENST00000370081,336,3,0.000138271,0,0,3,FALSE
2,COX7A2L,ENST00000234301,155,2,4.02E-05,0,0,2,FALSE
3,CP,ENST00000264613,1198,3,0.000326877,0,0,3,FALSE
3,CPA3,ENST00000296046,997,1,7.52E-05,0,0,1,FALSE
7,CPA4,ENST00000222482,8097,25,0.003725886,5,5.24E-06,30,TRUE
8,CPA6,ENST00000297770,1132,1,1.02E-06,2,2.09E-06,3,TRUE
19,CPAMD8,ENST00000443236,2840,2,7.63E-06,2,2.09E-06,4,FALSE
3,CPB1,ENST00000282957,1234,1,0.000187588,0,0,1,TRUE
13,CPB2,ENST00000181383,732,1,0.000128107,0,0,1,TRUE
4,CPEB2,ENST00000538197,1404,1,0.00045853,0,0,1,TRUE
7,CPED1,ENST00000310396,1989,1,1.02E-06,0,0,1,FALSE
5,CPLANE1,ENST00000425232,5005,2,0.000717642,4,4.19E-06,6,TRUE
15,CPLX3,ENST00000395018,164,1,2.08E-05,0,0,1,FALSE
12,CPM,ENST00000551568,912,1,0.000337074,0,0,1,TRUE
20,CPNE1,ENST00000397443,188165,4,0.001150407,0,0,4,FALSE
16,CPNE2,ENST00000290776,261,1,3.05E-06,0,0,1,FALSE
3,CPNE9,ENST00000383832,383,1,1.02E-06,0,0,1,FALSE
2,CPO,ENST00000272852,1440,4,0.000357409,0,0,4,TRUE
16,CPPED1,ENST00000381774,433,1,7.12E-06,0,0,1,FALSE
8,CPQ,ENST00000220763,989,2,8.59E-05,0,0,2,FALSE
17,CPSF4L,ENST00000344935,869,1,0.000215032,0,0,1,TRUE
22,CPT1B,ENST00000312108,876,2,2.64E-05,0,0,2,TRUE
7,CPVL,ENST00000265394,2155,3,8.59E-05,0,0,3,TRUE
20,CPXM1,ENST00000380605,511,1,2.08E-05,0,0,1,TRUE
10,CPXM2,ENST00000241305,1342,1,3.41E-05,0,0,1,TRUE
4,CPZ,ENST00000360986,3006,9,0.000779912,3,3.14E-06,12,FALSE
1,CR1,ENST00000367049,2316,4,0.000708639,2,2.09E-06,6,TRUE
1,CR1L,ENST00000508064,1818,4,0.000464631,0,0,4,TRUE
1,CR2,ENST00000367057,2888,1,0.00077017,2,2.09E-06,3,TRUE
12,CRACR2A,ENST00000440314,1750,2,6.86E-05,0,0,2,FALSE
11,CRACR2B,ENST00000525077,629,2,2.24E-05,0,0,2,FALSE
9,CRB2,ENST00000373631,987,1,2.19E-05,0,0,1,FALSE
9,CREB3,ENST00000353704,647,1,0.000134718,0,0,1,FALSE
1,CREB3L4,ENST00000368607,423,2,1.63E-05,0,0,2,FALSE
11,CREBZF,ENST00000527447,141,1,5.59E-06,0,0,1,FALSE
3,CRELD1,ENST00000452070,1635,1,3.30E-05,0,0,1,TRUE
7,CRHR2,ENST00000471646,3088,4,0.001391395,0,0,4,TRUE
14,CRIP2,ENST00000329146,247,1,1.98E-05,0,0,1,FALSE
6,CRIP3,ENST00000372569,482,1,7.12E-06,0,0,1,FALSE
6,CRISP1,ENST00000335847,825,1,0.000124038,0,0,1,TRUE
6,CRISP2,ENST00000339139,607,1,0.0001684,0,0,1,TRUE
6,CRISP3,ENST00000263045,417,1,0.000142412,0,0,1,TRUE
20,CRNKL1,ENST00000536226,1209,3,0.00051244,0,0,3,TRUE
2,CROCC2,ENST00000443866,37683,9,0.000922146,4,4.19E-06,13,TRUE
7,CROT,ENST00000331536,6513,4,0.002497569,16,1.68E-05,20,TRUE
10,CRTAC1,ENST00000370597,291,1,5.59E-06,0,0,1,FALSE
11,CRTAM,ENST00000227348,368,1,1.68E-05,0,0,1,FALSE
22,CRYBA4,ENST00000354760,11109,34,0.005385209,3,3.14E-06,37,TRUE
22,CRYBB3,ENST00000215855,1707,7,0.000644226,0,0,7,TRUE
6,CRYBG1,ENST00000633556,3963,2,3.36E-05,2,2.09E-06,4,TRUE
1,CRYBG2,ENST00000475866,2152,6,0.000381784,0,0,6,TRUE
3,CRYBG3,ENST00000389622,1565,2,2.29E-05,0,0,2,FALSE
2,CRYGA,ENST00000304502,9451,170,0.004872073,0,0,170,TRUE
7,CRYGN,ENST00000337323,1688,3,0.000804211,0,0,3,TRUE
3,CRYGS,ENST00000307944,202,1,1.27E-05,0,0,1,TRUE
1,CRYZ,ENST00000340866,3159,19,0.001319294,2,2.09E-06,21,TRUE
12,CSAD,ENST00000444623,1929,3,0.000570375,0,0,3,TRUE
1,CSF3R,ENST00000373106,1166,1,0.000388381,0,0,1,FALSE
8,CSGALNACT1,ENST00000454498,1205,3,0.000385328,0,0,3,TRUE
17,CSH2,ENST00000392886,715,3,0.000290775,0,0,3,TRUE
17,CSHL1,ENST00000309894,5698,100,0.002663787,0,0,100,TRUE
11,CSKMT,ENST00000532971,773,0,NA,5,5.24E-06,5,TRUE
4,CSN1S1,ENST00000246891,9812,282,0.00487061,0,0,282,TRUE
13,CSNK1A1L,ENST00000379800,1215,2,0.000384311,0,0,2,TRUE
11,CSNK2A3,ENST00000528848,1832,1,3.61E-05,2,2.09E-06,3,TRUE
15,CSPG4,ENST00000308508,1627,16,0.000490606,0,0,16,TRUE
12,CSRNP2,ENST00000228515,76,1,1.02E-06,0,0,1,FALSE
20,CST11,ENST00000377009,327,1,9.71E-05,0,0,1,TRUE
20,CST2,ENST00000304725,967,1,1.02E-06,0,0,1,TRUE
11,CST6,ENST00000312134,110,1,5.59E-06,0,0,1,FALSE
20,CST7,ENST00000480798,692,2,0.000228854,0,0,2,TRUE
20,CST9L,ENST00000376979,1130,5,0.00040322,0,0,5,TRUE
20,CSTL1,ENST00000347397,1196,6,0.000513436,0,0,6,TRUE
23,CT45A10,ENST00000611668,163,5,7.07E-05,0,0,5,TRUE
10,CTBP2,ENST00000309035,4436,4,0.001986659,0,0,4,TRUE
17,CTC1,ENST00000651323,1866,1,2.54E-06,0,0,1,FALSE
1,CTH,ENST00000370938,512,1,3.76E-05,0,0,1,FALSE
8,CTHRC1,ENST00000330295,358,1,1.42E-05,0,0,1,TRUE
10,CTNNA3,ENST00000433211,1079,1,2.14E-05,0,0,1,TRUE
17,CTNS,ENST00000046640,391,1,6.25E-05,0,0,1,FALSE
1,CTPS1,ENST00000650070,1122,1,0.000526187,0,0,1,FALSE
16,CTRL,ENST00000574481,523,2,4.47E-05,0,0,2,TRUE
1,CTSE,ENST00000358184,1978,12,0.000698107,0,0,12,TRUE
11,CTSF,ENST00000310325,746,1,5.59E-06,0,0,1,FALSE
9,CTSL,ENST00000343150,331,2,6.86E-05,0,0,2,TRUE
11,CTSW,ENST00000307886,15604,126,0.007723082,43,4.50E-05,169,TRUE
20,CTSZ,ENST00000217131,969,1,0.000220679,0,0,1,FALSE
7,CTTNBP2,ENST00000160373,705,1,2.39E-05,0,0,1,FALSE
10,CUBN,ENST00000377833,7379,12,0.001648179,19,1.99E-05,31,TRUE
17,CUEDC1,ENST00000577830,638,1,0.000141323,0,0,1,TRUE
6,CUL9,ENST00000252050,7780,27,0.003736689,2,2.09E-06,29,TRUE
6,CUTA,ENST00000488034,2888,1,0.001041098,0,0,1,TRUE
12,CUX2,ENST00000261726,136,1,4.02E-05,0,0,1,FALSE
10,CUZD1,ENST00000392790,586,1,1.12E-05,0,0,1,TRUE
2,CWC22,ENST00000410053,227,2,1.42E-05,0,0,2,FALSE
4,CWH43,ENST00000226432,33371,1,4.43E-05,0,0,1,TRUE
4,CXCL5,ENST00000296027,322,1,2.34E-05,0,0,1,FALSE
4,CXCL6,ENST00000226317,11258,42,0.005655911,0,0,42,TRUE
4,CXCL8,ENST00000307407,2403,2,0.000614597,0,0,2,TRUE
23,CXorf58,ENST00000379211,20631,1,6.87E-05,0,0,1,TRUE
3,CYB561D2,ENST00000425346,6328,17,0.003040941,0,0,17,TRUE
1,CYB5R1,ENST00000367249,360,1,1.07E-05,0,0,1,TRUE
11,CYB5R2,ENST00000299498,613,1,2.90E-05,0,0,1,TRUE
1,CYB5RL,ENST00000534324,860,4,0.000102687,2,2.09E-06,6,TRUE
9,CYLC2,ENST00000374798,422,1,5.59E-06,0,0,1,FALSE
8,CYP11B2,ENST00000323110,1204,3,0.000344154,0,0,3,TRUE
15,CYP1A1,ENST00000379727,4304,9,0.001864627,4,4.19E-06,13,TRUE
15,CYP1A2,ENST00000343932,1045,1,6.10E-06,0,0,1,FALSE
2,CYP1B1,ENST00000610745,1525,1,0.000188089,2,2.09E-06,3,FALSE
2,CYP20A1,ENST00000356079,847,2,3.41E-05,2,2.09E-06,4,TRUE
10,CYP26C1,ENST00000651965,4549,6,0.002052205,0,0,6,TRUE
19,CYP2A13,ENST00000330436,14562,70,0.007198145,2,2.09E-06,72,TRUE
19,CYP2A6,ENST00000301141,2713,84,0.001343066,15,1.57E-05,99,TRUE
19,CYP2A7,ENST00000301146,418,10,0.000135729,0,0,10,TRUE
19,CYP2B6,ENST00000324071,1418,2,5.64E-05,0,0,2,TRUE
10,CYP2C18,ENST00000285979,17497,440,0.009001418,18,1.89E-05,458,TRUE
10,CYP2C19,ENST00000371321,2193,38,0.000973487,0,0,38,TRUE
10,CYP2C8,ENST00000371270,1641,1,3.00E-05,0,0,1,FALSE
10,CYP2C9,ENST00000260682,2072,7,0.000845483,0,0,7,TRUE
22,CYP2D6,ENST00000645361,329,14,0.000112349,0,0,14,TRUE
10,CYP2E1,ENST00000252945,421,2,0.000161674,0,0,2,FALSE
19,CYP2F1,ENST00000331105,301709,3,0.000360424,0,0,3,TRUE
11,CYP2R1,ENST00000334636,1154,2,0.000158606,0,0,2,TRUE
19,CYP2S1,ENST00000310054,391,1,6.71E-05,0,0,1,FALSE
7,CYP2W1,ENST00000308919,791,1,0.000203848,0,0,1,TRUE
6,CYP39A1,ENST00000275016,1136,3,0.000254199,0,0,3,TRUE
7,CYP3A4,ENST00000651514,2011,3,0.000125054,0,0,3,TRUE
7,CYP3A43,ENST00000354829,89444,2,0.000416849,0,0,2,FALSE
7,CYP3A5,ENST00000222982,28934,713,0.014951153,89,9.32E-05,802,TRUE
1,CYP4A11,ENST00000310638,950,4,5.34E-05,2,2.09E-06,6,FALSE
1,CYP4A22,ENST00000371891,2772,18,0.001143275,0,0,18,TRUE
19,CYP4F12,ENST00000550308,3829,20,0.001158543,5,5.24E-06,25,TRUE
19,CYP4F2,ENST00000221700,983,3,0.000213008,0,0,3,TRUE
19,CYP4F22,ENST00000269703,706,1,1.42E-05,0,0,1,FALSE
19,CYP4F3,ENST00000221307,1603,10,0.000204361,0,0,10,TRUE
19,CYP4F8,ENST00000612078,2924,21,0.001027373,0,0,21,TRUE
1,CYP4X1,ENST00000371901,1168,3,0.000325852,0,0,3,TRUE
1,CYP4Z1,ENST00000334194,3336,85,0.001342046,0,0,85,TRUE
8,CYP7B1,ENST00000310193,471,1,7.12E-06,0,0,1,FALSE
2,CYS1,ENST00000381813,371,2,8.13E-05,0,0,2,TRUE
21,CYYR1,ENST00000652641,3340,2,0.001584643,0,0,2,FALSE
14,DAAM1,ENST00000360909,361,1,2.54E-06,0,0,1,FALSE
23,DACH2,ENST00000373125,58,1,3.05E-06,0,0,1,TRUE
12,DAO,ENST00000228476,653,1,8.19E-05,0,0,1,FALSE
13,DAOA,ENST00000375936,3536,46,0.001788425,0,0,46,TRUE
5,DAP,ENST00000230895,4017,8,0.001963825,0,0,8,FALSE
2,DAPL1,ENST00000309950,10707,37,0.005441097,4,4.19E-06,41,TRUE
4,DAPP1,ENST00000512369,205,1,6.96E-05,0,0,1,TRUE
12,DBX2,ENST00000332700,228,1,1.32E-05,0,0,1,TRUE
9,DCAF12,ENST00000361264,154,1,6.61E-06,0,0,1,FALSE
8,DCAF4L2,ENST00000319675,2743,6,0.001307478,0,0,6,TRUE
17,DCAKD,ENST00000651974,11343,37,0.005741324,0,0,37,TRUE
6,DCBLD1,ENST00000338728,600,1,1.02E-06,0,0,1,FALSE
3,DCBLD2,ENST00000326840,2115,4,0.000542332,0,0,4,FALSE
12,DCD,ENST00000293371,3583,6,0.001779237,0,0,6,TRUE
11,DCDC1,ENST00000452803,403,1,2.14E-05,0,0,1,TRUE
1,DCDC2B,ENST00000409358,30565,1,0.000530207,0,0,1,TRUE
2,DCDC2C,ENST00000399143,21100,19,0.001072127,0,0,19,TRUE
4,DCHS2,ENST00000357232,27957,9,0.002143706,42,4.40E-05,51,TRUE
10,DCLRE1A,ENST00000361384,8361,18,0.003784655,0,0,18,TRUE
10,DCLRE1C,ENST00000378278,903,1,0.00018148,0,0,1,FALSE
12,DCN,ENST00000052754,102,1,1.42E-05,0,0,1,FALSE
1,DCST1,ENST00000295542,1786,6,0.000288234,0,0,6,TRUE
8,DCSTAMP,ENST00000297581,681,3,0.000165213,0,0,3,TRUE
13,DCT,ENST00000377028,1611,1,2.54E-05,0,0,1,TRUE
17,DCXR,ENST00000306869,1796,5,0.000421427,3,3.14E-06,8,TRUE
14,DDHD1,ENST00000673822,333,1,4.07E-06,0,0,1,FALSE
11,DDI1,ENST00000302259,1856,8,0.000860635,0,0,8,FALSE
11,DDIAS,ENST00000533655,1521,26,0.000491065,0,0,26,TRUE
6,DDO,ENST00000368924,2711,12,0.001260195,0,0,12,TRUE
19,DDX49,ENST00000247003,624,0,NA,2,2.09E-06,2,FALSE
12,DDX51,ENST00000397333,1648,1,0.000170806,0,0,1,TRUE
17,DDX52,ENST00000617633,2151,5,0.000194708,0,0,5,TRUE
12,DDX55,ENST00000238146,2376,0,NA,2,2.09E-06,2,FALSE
9,DDX58,ENST00000379883,1344,3,9.51E-05,0,0,3,TRUE
4,DDX60L,ENST00000260184,8843,34,0.002898735,34,3.56E-05,68,TRUE
8,DECR1,ENST00000220764,762,6,0.00012404,0,0,6,TRUE
8,DEFA4,ENST00000297435,8419,144,0.00441247,0,0,144,TRUE
8,DEFA6,ENST00000297436,4179,3,0.002049674,0,0,3,TRUE
20,DEFB115,ENST00000400552,901,2,0.000256215,0,0,2,TRUE
20,DEFB132,ENST00000382376,75,1,3.20E-05,0,0,1,TRUE
5,DELE1,ENST00000432126,5222,8,0.002055263,7,7.33E-06,15,TRUE
19,DENND1C,ENST00000381480,723,1,4.42E-05,0,0,1,FALSE
1,DENND2C,ENST00000393274,1281,2,5.39E-05,0,0,2,FALSE
1,DENND2D,ENST00000357640,2225,2,0.000924685,0,0,2,TRUE
8,DENND3,ENST00000519811,683,3,8.29E-05,0,0,3,TRUE
15,DENND4A,ENST00000443035,529,2,3.46E-05,0,0,2,TRUE
22,DENND6B,ENST00000413817,692,1,9.66E-06,0,0,1,TRUE
1,DEPDC1,ENST00000456315,871,1,1.42E-05,0,0,1,FALSE
5,DEPDC1B,ENST00000265036,523,2,5.69E-05,0,0,2,FALSE
11,DEPDC7,ENST00000241051,588,1,1.53E-06,0,0,1,TRUE
8,DEPTOR,ENST00000286234,1460,36,0.000503777,0,0,36,TRUE
12,DERA,ENST00000428559,625,1,0.000186056,0,0,1,FALSE
22,DERL3,ENST00000318109,3756,3,0.001728392,0,0,3,TRUE
2,DES,ENST00000373960,212,1,2.44E-05,0,0,1,FALSE
11,DEUP1,ENST00000298050,5028,37,0.001584042,6,6.28E-06,43,TRUE
1,DFFA,ENST00000377038,712,1,0.00010472,0,0,1,TRUE
1,DFFB,ENST00000378209,427,1,7.02E-05,0,0,1,TRUE
8,DGAT1,ENST00000528718,777,1,8.13E-06,0,0,1,FALSE
11,DGAT2,ENST00000228027,1518,2,2.14E-05,0,0,2,TRUE
23,DGAT2L6,ENST00000333026,828,1,8.13E-06,0,0,1,TRUE
7,DGKB,ENST00000402815,237,3,3.25E-05,0,0,3,FALSE
3,DGKG,ENST00000265022,600,1,4.58E-06,0,0,1,TRUE
7,DGKI,ENST00000288490,271,1,9.66E-06,0,0,1,FALSE
14,DGLUCY,ENST00000256324,960,1,3.56E-06,0,0,1,TRUE
11,DHCR7,ENST00000355527,15822,1,2.08E-05,0,0,1,FALSE
3,DHFR2,ENST00000314636,3504,7,0.001751265,0,0,7,TRUE
14,DHRS1,ENST00000288111,611,1,5.54E-05,0,0,1,TRUE
13,DHRS12,ENST00000444610,1127,3,6.10E-05,0,0,3,TRUE
14,DHRS4L2,ENST00000335125,46,1,6.61E-06,0,0,1,TRUE
14,DHRS7,ENST00000557185,959,1,0.000337038,0,0,1,FALSE
17,DHRS7B,ENST00000395511,3546,4,0.001507275,0,0,4,TRUE
17,DHRS7C,ENST00000571134,835,1,0.00011997,0,0,1,TRUE
2,DHRS9,ENST00000428522,2792,9,0.001052366,0,0,9,TRUE
10,DHTKD1,ENST00000263035,1189,1,2.54E-06,0,0,1,FALSE
17,DHX58,ENST00000251642,2763,6,0.000513434,0,0,6,TRUE
1,DIO1,ENST00000361921,616,2,0.000250107,0,0,2,FALSE
1,DIPK1A,ENST00000370310,134,1,1.53E-06,0,0,1,FALSE
18,DIPK1C,ENST00000343998,664,2,5.49E-05,0,0,2,TRUE
15,DIS3L,ENST00000319212,1337,1,1.32E-05,0,0,1,FALSE
1,DISP3,ENST00000294484,760,1,4.17E-05,0,0,1,TRUE
11,DIXDC1,ENST00000440460,807,1,2.14E-05,0,0,1,TRUE
11,DKK3,ENST00000326932,457,1,1.88E-05,0,0,1,FALSE
19,DKKL1,ENST00000221498,829,1,1.68E-05,0,0,1,FALSE
3,DLEC1,ENST00000308059,11270,36,0.004555308,13,1.36E-05,49,TRUE
14,DLGAP5,ENST00000247191,519,1,1.02E-06,0,0,1,FALSE
6,DLK2,ENST00000372488,108,1,2.03E-06,0,0,1,TRUE
19,DLL3,ENST00000356433,1295,0,NA,3,3.14E-06,3,FALSE
10,DMBT1,ENST00000338354,2595,40,0.000419897,3,3.14E-06,43,TRUE
5,DMGDH,ENST00000255189,4141,8,0.001327808,3,3.14E-06,11,TRUE
19,DMKN,ENST00000339686,1140,4,0.000317725,0,0,4,TRUE
19,DMRTC2,ENST00000269945,255,1,0.00011387,0,0,1,TRUE
10,DNA2,ENST00000358410,1532,15,0.000413823,2,2.09E-06,17,TRUE
16,DNAAF1,ENST00000378553,1497,1,0.000389395,0,0,1,FALSE
3,DNAH1,ENST00000420323,3900,2,9.66E-06,4,4.19E-06,6,TRUE
12,DNAH10,ENST00000673944,5196,3,2.90E-05,7,7.33E-06,10,TRUE
7,DNAH11,ENST00000409508,478857,2,4.37E-05,5,5.24E-06,7,TRUE
3,DNAH12,ENST00000495027,5478,2,0.0005236,5,5.24E-06,7,TRUE
1,DNAH14,ENST00000430092,157984,506,0.029586665,904,0.00094657,1410,TRUE
17,DNAH17,ENST00000389840,4998,1,2.03E-06,3,3.14E-06,4,TRUE
17,DNAH2,ENST00000572933,7904,14,0.001869714,12,1.26E-05,26,TRUE
16,DNAH3,ENST00000261383,7893,6,0.000345683,21,2.20E-05,27,TRUE
5,DNAH5,ENST00000265104,4498,3,0.000105249,2,2.09E-06,5,TRUE
2,DNAH6,ENST00000389394,4877,4,0.00024555,2,2.09E-06,6,TRUE
2,DNAH7,ENST00000312428,22680,40,0.007660847,106,0.00011099,146,TRUE
6,DNAH8,ENST00000327475,16715,297,0.006121041,24,2.51E-05,321,TRUE
17,DNAH9,ENST00000262442,6257,6,0.000623782,8,8.38E-06,14,TRUE
17,DNAI2,ENST00000311014,971,1,0.000188597,0,0,1,TRUE
19,DNAJB1,ENST00000254322,235,1,7.17E-05,0,0,1,FALSE
2,DNAJB2,ENST00000336576,435,1,4.58E-05,0,0,1,FALSE
10,DNAJC1,ENST00000376980,2200,17,0.000919357,0,0,17,FALSE
2,DNAJC10,ENST00000264065,620,1,6.11E-06,0,0,1,FALSE
1,DNAJC16,ENST00000375847,1011,1,1.42E-05,0,0,1,TRUE
7,DNAJC30,ENST00000395176,221,1,1.17E-05,0,0,1,FALSE
8,DNAJC5B,ENST00000276570,1184,1,0.000494623,0,0,1,TRUE
16,DNASE1,ENST00000407479,2060,4,0.000466173,0,0,4,TRUE
16,DNASE1L2,ENST00000320700,2279,7,0.000879444,0,0,7,TRUE
3,DNASE1L3,ENST00000394549,363,1,0.0001032,0,0,1,FALSE
1,DNASE2B,ENST00000370665,1688,1,0.000105229,0,0,1,TRUE
11,DNHD1,ENST00000254579,21971,46,0.006989986,125,0.00013089,171,TRUE
8,DOCK5,ENST00000276440,918,1,5.24E-05,0,0,1,FALSE
19,DOCK6,ENST00000294618,21082,0,NA,3,3.14E-06,3,TRUE
13,DOCK9,ENST00000376460,335,1,1.02E-06,0,0,1,FALSE
8,DOK2,ENST00000276420,1294,7,0.000382282,0,0,7,TRUE
5,DOK3,ENST00000357198,4356,24,0.001885979,3,3.14E-06,27,TRUE
4,DOK7,ENST00000340083,230,0,NA,2,2.09E-06,2,FALSE
9,DOLK,ENST00000372586,12567,39,0.006323342,0,0,39,TRUE
21,DOP1B,ENST00000399151,1851,3,8.18E-05,2,2.09E-06,5,TRUE
16,DPEP1,ENST00000393092,810,2,3.46E-05,0,0,2,TRUE
16,DPEP2,ENST00000393847,5654,5,0.002702887,2,2.09E-06,7,TRUE
16,DPEP3,ENST00000268793,633,1,0.000122515,0,0,1,TRUE
9,DPH7,ENST00000277540,587,1,3.26E-05,0,0,1,FALSE
20,DPM1,ENST00000371588,235,1,7.12E-06,0,0,1,FALSE
2,DPP4,ENST00000360534,59818,9,0.000246041,0,0,9,FALSE
9,DPP7,ENST00000371579,1459,2,1.78E-05,16,1.68E-05,18,TRUE
19,DPP9,ENST00000262960,149,1,1.02E-06,0,0,1,FALSE
3,DPPA4,ENST00000335658,497,1,4.63E-05,0,0,1,FALSE
19,DPRX,ENST00000376650,125,0,NA,2,2.09E-06,2,FALSE
8,DPY19L4,ENST00000414645,4093,3,0.000664424,0,0,3,TRUE
1,DPYD,ENST00000370192,8684,25,0.003685027,5,5.24E-06,30,TRUE
8,DPYS,ENST00000351513,2319,6,0.000567317,2,2.09E-06,8,TRUE
2,DQX1,ENST00000404568,2350,9,0.000228757,0,0,9,TRUE
12,DRAM1,ENST00000258534,89,1,1.02E-06,0,0,1,TRUE
1,DRAM2,ENST00000286692,694,2,1.12E-05,0,0,2,TRUE
1,DRAXIN,ENST00000294485,1070,3,0.000208425,0,0,3,TRUE
2,DRC1,ENST00000288710,2709,5,0.000998403,2,2.09E-06,7,TRUE
11,DRD4,ENST00000176183,20266,1,2.24E-05,0,0,1,TRUE
4,DRD5,ENST00000304374,13,0,NA,2,2.09E-06,2,FALSE
22,DRICH1,ENST00000317749,370,1,2.03E-06,0,0,1,FALSE
18,DSC3,ENST00000360428,2749,4,7.98E-05,0,0,4,TRUE
18,DSEL,ENST00000310045,632,1,1.02E-06,0,0,1,FALSE
18,DSG1,ENST00000257192,290,1,7.22E-05,0,0,1,FALSE
18,DSG2,ENST00000261590,476,1,1.53E-06,0,0,1,TRUE
18,DSG4,ENST00000308128,1486,5,0.00023689,0,0,5,FALSE
6,DST,ENST00000312431,452,1,1.02E-06,0,0,1,FALSE
1,DSTYK,ENST00000367162,922,3,0.000414312,0,0,3,FALSE
4,DTHD1,ENST00000639862,2260,4,0.000701018,3,3.14E-06,7,TRUE
2,DTNB,ENST00000406818,606,1,2.54E-06,0,0,1,TRUE
6,DTNBP1,ENST00000344537,464,0,NA,2,2.09E-06,2,TRUE
7,DTX2,ENST00000324432,852,1,0.00038789,0,0,1,TRUE
15,DUOX1,ENST00000389037,4959,10,0.001654176,10,1.05E-05,20,TRUE
15,DUOX2,ENST00000389039,10095,13,0.003716624,19,1.99E-05,32,TRUE
15,DUOXA2,ENST00000323030,801,1,0.000220121,0,0,1,TRUE
16,DUS2,ENST00000565263,686,1,1.02E-05,0,0,1,FALSE
20,DUSP15,ENST00000339738,1413,2,0.000392961,0,0,2,TRUE
