Evidence,TP,TN,FP,FN,Sensitivity (recall),Specificity (selectivity),PPV (precision),FDR,Balanced_accuracy
L2G>=0.5,6267,123785,665,2253,0.7355633802816901,0.9946564885496183,0.904068090017311,0.09593190998268897,0.8651099344156542
L2G>=0.05,7501,117999,6451,1019,0.8803990610328638,0.9481639212535155,0.5376290137614679,0.4623709862385321,0.9142814911431896
L2G>=0.8,4498,124288,162,4022,0.5279342723004695,0.9986982723985537,0.965236051502146,0.034763948497854025,0.7633162723495116
eQTL_coloc,2966,119501,4949,5554,0.34812206572769955,0.96023302531137,0.37473152242577384,0.6252684775742261,0.6541775455195348
pQTL_coloc,1198,124116,334,7322,0.14061032863849765,0.9973161912414624,0.7819843342036553,0.21801566579634468,0.5689632599399801
PAV,1761,124021,429,6759,0.20669014084507042,0.9965528324628364,0.8041095890410959,0.19589041095890414,0.6016214866539534
Nearest to TSS,5484,122190,2260,3036,0.643661971830986,0.9818400964242667,0.7081611570247934,0.29183884297520657,0.8127510341276263
Combined,6796,123069,1381,1724,0.7976525821596244,0.988903173965448,0.8311116546410664,0.1688883453589336,0.8932778780625362
