studyId,traitFromSource,traitFromSourceMappedIds,diseaseIds,pubmedId,publicationDate,nCases,nControls,nSamples,cohorts,qualityControls,analysisFlags
GCST90435636,Secondary malignancy of bone (PheCode 198.6),['EFO_0009812'],['EFO_0009812'],30104761,2018-08-13,2151.0,370604.0,372755.0,['UKB'],[],[]
GCST90448635,Urea levels,['OBA_2050065'],['OBA_2050065'],39414775,2024-10-16,0.0,0.0,38000.0,['G&H'],[],[]
GCST90454609,Patterns of brain structural covariance (C32_25),['OBA_2045210'],['OBA_2045210'],38127979,2023-12-21,0.0,0.0,33541.0,['UKB'],['Harmonized summary statistics are not available or empty'],[]
GCST90454634,Patterns of brain structural covariance (C64_43),['OBA_2045210'],['OBA_2045210'],38127979,2023-12-21,0.0,0.0,33541.0,['UKB'],['Harmonized summary statistics are not available or empty'],[]
GCST90455140,Patterns of brain structural covariance (C1024_440),['OBA_2045210'],['OBA_2045210'],38127979,2023-12-21,0.0,0.0,33541.0,['UKB'],['Harmonized summary statistics are not available or empty'],[]
GCST90474876,Volume of left basal nucleus,['OBA_2050034'],['OBA_2050034'],40097784,2025-03-17,0.0,0.0,42397.0,['CHIMGEN' 'UKB'],[],[]
GCST90476592,"Coronary artery / coronary heart disease (including heart attack, angina)",['EFO_0001645'],['EFO_0001645'],39024449,2024-07-19,3107.0,26207.0,29314.0,['MVP'],[],[]
GCST90477208,Cancer of urinary organs (incl. kidney and bladder) (PheCode 189),['MONDO_0001187'],['MONDO_0001187'],39024449,2024-07-19,1380.0,58098.0,59478.0,['MVP'],['Harmonized summary statistics are not available or empty'],[]
GCST90477406,Hyperosmolality and/or hypernatremia (PheCode 276.11),['HP_0003228' 'OBA_0004561'],['HP_0003228' 'OBA_0004561'],39024449,2024-07-19,737.0,119617.0,120354.0,['MVP'],['Harmonized summary statistics are not available or empty'],[]
GCST90477860,Elevated blood pressure reading without diagnosis of hypertension (PheCode 402),['EFO_0006943'],['EFO_0006943'],39024449,2024-07-19,26787.0,385979.0,412766.0,['MVP'],['Harmonized summary statistics are not available or empty'],[]
GCST90479932,Chondrocalcinosis (PheCode 274.21),['HP_0000934'],['HP_0000934'],39024449,2024-07-19,3282.0,625577.0,628859.0,['MVP'],[],[]
GCST90482380,Arthropathy associated with other disorders (PheCode 713),['HP_0003040'],['HP_0003040'],39024449,2024-07-19,406.0,121043.0,121449.0,['MVP'],['Harmonized summary statistics are not available or empty'],[]
GCST90565204,Gut microbiome abundance (class Veillonella sp. 5) (at 1 year),['EFO_0007874'],['EFO_0007874'],40187613,2025-04-03,0.0,0.0,688.0,['CHILD'],[],['GxE']
GCST90569448,Gut microbial network clusters (Sienna (at 1 year) x Homesmokers interaction,['EFO_0007874' 'EFO_0009115'],['EFO_0009115' 'EFO_0007874'],40187613,2025-04-03,0.0,0.0,688.0,['CHILD'],['Harmonized summary statistics are not available or empty'],[]
GCST90569506,Gut microbial network clusters (MidnightBlue (at 1 year) x Any household furry Pets (3 Months)  interaction,['EFO_0007874' 'EFO_0007944'],['EFO_0007944' 'EFO_0007874'],40187613,2025-04-03,0.0,0.0,688.0,['CHILD'],['Harmonized summary statistics are not available or empty'],[]
FINNGEN_R12_C3_BRAIN_EXALLC,"Malignant neoplasm of brain, excluding all cancers (controls excluding all cancers)",['MONDO_0001657' 'EFO_0003833'],['MONDO_0001657' 'EFO_0003833'],,,1894.0,378749.0,380643.0,['FinnGen'],[],[]
GCST000964,Ulcerative colitis,['EFO_0000729'],['EFO_0000729'],21297633,2011-02-06,6687.0,19718.0,26405.0,,['Harmonized summary statistics are not available or empty'],[]
GCST001478,Circulating cell-free DNA,['EFO_0004739'],['EFO_0004739'],22511988,2012-04-12,0.0,0.0,1841.0,,['Harmonized summary statistics are not available or empty'],[]
GCST002474,Glioma (high-grade),['EFO_0000326'],['EFO_0000326'],24908248,2014-06-08,1013.0,6595.0,7608.0,,['Harmonized summary statistics are not available or empty'],[]
GCST002505,Suicidal ideation in depression or bipolar disorder,['EFO_0004320'],['EFO_0004320'],24964207,2014-06-25,237.0,510.0,747.0,,['Harmonized summary statistics are not available or empty'],[]
GCST002947,Renal elimination rate in vancomycin therapy,['EFO_0007649' 'OBA_2040021'],['OBA_2040021' 'EFO_0007649'],26030142,2015-06-01,0.0,0.0,745.0,,['Harmonized summary statistics are not available or empty'],[]
GCST003181,Staphylococcus aureus nasal carriage (intermittent),['EFO_0007758'],['EFO_0007758'],26569114,2015-11-16,0.0,0.0,717.0,,['Harmonized summary statistics are not available or empty'],[]
GCST004082,Drug-induced liver injury (nitrofurantoin),['EFO_0004228' 'OBA_2040118'],['OBA_2040118' 'EFO_0004228'],28043905,2016-12-30,64.0,10588.0,10652.0,,['Harmonized summary statistics are not available or empty'],[]
GCST008587,Cognitive performance (language ability),['EFO_0007797' 'EFO_0008354'],['EFO_0008354' 'EFO_0007797'],29531327,2018-03-13,1021.0,5991.0,7012.0,,['Harmonized summary statistics are not available or empty'],[]
GCST011179,Cannabis use disorder,['EFO_0007191'],['EFO_0007191'],33096046,2020-10-20,20916.0,363116.0,384032.0,,['Harmonized summary statistics are not available or empty'],[]
GCST90002928,aparc-a2009s lh volume G+S-subcentral,['OBA_2050009'],['OBA_2050009'],33875891,2021-04-19,0.0,0.0,21282.0,['UKB'],[],[]
GCST90003542,aparc-DKTatlas lh thickness caudalmiddlefrontal,['EFO_0004840'],['EFO_0004840'],33875891,2021-04-19,0.0,0.0,21282.0,['UKB'],[],[]
GCST90004050,IDP dMRI TBSS MD Anterior corona radiata L,['EFO_0004641'],['EFO_0004641'],33875891,2021-04-19,0.0,0.0,20860.0,['UKB'],[],[]
GCST90004994,rfMRI connectivity (ICA100 edge 141),['OBA_2045295'],['OBA_2045295'],33875891,2021-04-19,0.0,0.0,21081.0,['UKB'],[],[]
GCST90018779,"Medication use (adrenergics, inhalants)",['EFO_0009941'],['EFO_0009941'],34594039,2021-09-30,5880.0,172846.0,178726.0,['BBJ'],[],[]
GCST90024054,Ceramide (d18:2/22:0) levels,['EFO_0010222'],['EFO_0010222'],35668104,2022-06-06,0.0,0.0,4492.0,['BHS'],[],['Metabolite']
GCST90025599,Phosphatidylethanolamine (16:1_20:4) levels,['EFO_0010228'],['EFO_0010228'],35668104,2022-06-06,0.0,0.0,4492.0,['BHS'],[],['Metabolite']
GCST90032286,CAG-485 sp002362485 abundance in stool,['EFO_0007874'],['EFO_0007874'],35115689,2022-02-03,0.0,0.0,5959.0,['FINRISK'],[],[]
GCST90038615,Deep venous thrombosis,['EFO_0003907'],['EFO_0003907'],33959723,2021-04-08,9529.0,475069.0,484598.0,['UKB'],[],[]
GCST90043830,Meniere's disease (PheCode 386.1),['EFO_0006862'],['EFO_0006862'],34737426,2021-11-04,171.0,456177.0,456348.0,['UKB'],[],[]
GCST90044502,Carbuncle and furuncle (PheCode 686.1),['EFO_1000674' 'HP_0020083'],['HP_0020083' 'EFO_1000674'],34737426,2021-11-04,2298.0,454050.0,456348.0,['UKB'],[],[]
GCST90078314,Pairs matching - Time to complete round (UKB data field 20133),['EFO_0008354'],['EFO_0008354'],34662886,2021-10-18,0.0,0.0,102772.0,['UKB'],['The number of SNPs in the study is below the expected threshold'],['ExWAS']
GCST90079202,Friendships satisfaction - Moderately happy (UKB data field 4570),['EFO_0009725'],['EFO_0009725'],34662886,2021-10-18,57135.0,118642.0,175777.0,['UKB'],['The number of SNPs in the study is below the expected threshold'],['ExWAS']
GCST90079500,Matrix pattern completion - Item selected for each puzzle - 6 (UKB data field 6332),['EFO_0008354'],['EFO_0008354'],34662886,2021-10-18,14457.0,9982.0,24439.0,['UKB'],['The number of SNPs in the study is below the expected threshold'],['ExWAS']
GCST90082745,Severity of current abdominal distension tightness - 5 (UKB data field 21039) (Gene-based burden),['HP_0003270'],['HP_0003270'],34662886,2021-10-18,5472.0,30469.0,35941.0,['UKB'],['Harmonized summary statistics are not available or empty'],[]
GCST90083334,Cataract - left eye (UKB data field 5441) (Gene-based burden),['MONDO_0005129'],['MONDO_0005129'],34662886,2021-10-18,1817.0,8775.0,10592.0,['UKB'],['Harmonized summary statistics are not available or empty'],[]
GCST90083785,"ICD10 F20.9: Schizophrenia, unspecified (Gene-based burden)",['MONDO_0005090'],['MONDO_0005090'],34662886,2021-10-18,564.0,387292.0,387856.0,['UKB'],['Harmonized summary statistics are not available or empty'],[]
GCST90084179,ICD10 K22.8: Other specified diseases of esophagus (Gene-based burden),['EFO_0009544'],['EFO_0009544'],34662886,2021-10-18,1480.0,386448.0,387928.0,['UKB'],['Harmonized summary statistics are not available or empty'],[]
GCST90084262,ICD10 K64.9: Unspecified hemorrhoids (Gene-based burden),['EFO_0009552'],['EFO_0009552'],34662886,2021-10-18,1717.0,386213.0,387930.0,['UKB'],['Harmonized summary statistics are not available or empty'],[]
GCST90102006,Lysophosphatidylcholines (18:1) levels,['EFO_0010224'],['EFO_0010224'],35393526,2022-04-07,0.0,0.0,650.0,['AMISH'],['Harmonized summary statistics are not available or empty'],[]
GCST90102631,1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (p-16:0/20:4) levels,['EFO_0800417'],['EFO_0800417'],35050183,2022-01-11,0.0,0.0,8809.0,['BRRD'],['Harmonized summary statistics are not available or empty'],[]
GCST90133526,3-hydroxy-2-ethylpropionate levels in elite athletes,['EFO_0005134'],['EFO_0005134'],31882771,2019-12-27,0.0,0.0,490.0,,['Harmonized summary statistics are not available or empty'],[]
GCST90140462,X-16576 levels,['EFO_0800760'],['EFO_0800760'],35347128,2022-03-28,0.0,0.0,6136.0,['METSIM'],['Harmonized summary statistics are not available or empty'],[]
GCST90177216,Metabolite peak levels (QI15685),['EFO_0004725'],['EFO_0004725'],35995766,2022-08-22,0.0,0.0,2466.0,['JHS'],['Harmonized summary statistics are not available or empty'],['Metabolite']
GCST90178747,Metabolite peak levels (QI12104),['EFO_0004725'],['EFO_0004725'],35995766,2022-08-22,0.0,0.0,2466.0,['JHS'],['Harmonized summary statistics are not available or empty'],['Metabolite']
GCST90178763,Metabolite peak levels (QI1379),['EFO_0004725'],['EFO_0004725'],35995766,2022-08-22,0.0,0.0,2466.0,['JHS'],['Harmonized summary statistics are not available or empty'],['Metabolite']
GCST90200179,Glyco-beta-muricholate levels,['EFO_0800569'],['EFO_0800569'],36635386,2023-01-12,0.0,0.0,7206.0,['CLSA'],[],['Metabolite']
GCST90201045,Theophylline levels,['EFO_0021180'],['EFO_0021180'],36635386,2023-01-12,0.0,0.0,55.0,['CLSA'],[],['Metabolite']
GCST90202242,1-linoleoyl-GPE (18:2) levels,['EFO_0800247'],['EFO_0800247'],36635386,2023-01-12,0.0,0.0,103.0,['CLSA'],[],['Metabolite']
GCST90203257,Glutarylcarnitine (c5-dc) levels,['EFO_0800030'],['EFO_0800030'],36635386,2023-01-12,0.0,0.0,107.0,['CLSA'],[],['Metabolite']
GCST90243887,Cotinine levels,['EFO_0007813'],['EFO_0007813'],24816252,2014-05-11,0.0,0.0,1270.0,['TwinsUK' 'KORA'],[],['Metabolite']
GCST90244060,Ayurvedic pitta prakriti specific rheumatoid arthritis,['EFO_0000685'],['EFO_0000685'],35793592,2022-07-03,113.0,131.0,244.0,['NR'],['Harmonized summary statistics are not available or empty'],[]
GCST90244439,Phosphatidylcholine (18:0_22:6) levels,['OBA_2045097'],['OBA_2045097'],36193934,2022-10-04,0.0,0.0,4642.0,['other'],['Harmonized summary statistics are not available or empty'],[]
GCST90245540,X-12407 levels,['EFO_0021304'],['EFO_0021304'],36357675,2022-11-10,0.0,0.0,14296.0,['INTERVAL' 'EPIC-Norfolk'],['Harmonized summary statistics are not available or empty'],[]
GCST90247068,Carboxymethylenebutenolidase homolog levels,['EFO_0004747'],['EFO_0004747'],34648354,2021-11-12,0.0,0.0,10708.0,['other'],['Harmonized summary statistics are not available or empty'],[]
GCST90248407,Mitogen-activated protein kinase 14 levels,['EFO_0020578'],['EFO_0020578'],34648354,2021-11-12,0.0,0.0,10708.0,['other'],['Harmonized summary statistics are not available or empty'],[]
GCST90248892,Plasma serine protease inhibitor levels,['EFO_0020642'],['EFO_0020642'],34648354,2021-11-12,0.0,0.0,10708.0,['other'],['Harmonized summary statistics are not available or empty'],[]
GCST90250176,Vitrin levels,['EFO_0802217'],['EFO_0802217'],34648354,2021-11-12,0.0,0.0,10708.0,['other'],['Harmonized summary statistics are not available or empty'],[]
GCST90257915,NH4_C56:3 Triacylglycerol levels in chronic kidney disease,['EFO_0010430'],['EFO_0010430'],35120996,2022-02-01,0.0,0.0,687.0,['CRIC'],[],['Metabolite']
GCST90258099,Bilirubin levels in chronic kidney disease,['EFO_0004570'],['EFO_0004570'],35120996,2022-02-01,0.0,0.0,687.0,['CRIC'],[],['Metabolite']
GCST90264916,Urine chlorogenate levels in chronic kidney disease,['EFO_0004725'],['EFO_0004725'],37277652,2023-06-05,0.0,0.0,3887.0,['GCKD'],[],['Metabolite']
GCST90265421,Plasma kynurenate levels in chronic kidney disease,['EFO_0800141'],['EFO_0800141'],37277652,2023-06-05,0.0,0.0,4960.0,['GCKD'],[],['Metabolite']
GCST90266738,Urine X-24475 levels in chronic kidney disease,['EFO_0800888'],['EFO_0800888'],37277652,2023-06-05,0.0,0.0,3688.0,['GCKD'],['The number of SNPs in the study is below the expected threshold'],['Metabolite']
GCST90267348,Abdominal subcutaneous adipose tissue normalized,['OBA_1000023'],['OBA_1000023'],36402844,2022-11-19,0.0,0.0,32573.0,['UKB'],[],[]
GCST90267915,Left subiculum volume (head),['OBA_2050024'],['OBA_2050024'],37337106,2023-06-19,0.0,0.0,38977.0,['UKB' 'CHIMGEN'],[],[]
GCST90274596,"Eicosanoid 14,15-EET, Eicosanoid 5-HETE b levels",['EFO_0020044'],['EFO_0020044'],37524825,2023-07-31,0.0,0.0,6496.0,['ARIC'],[],['Metabolite']
GCST90279379,Plasma metabolome feature (c18_4693),['EFO_0005664'],['EFO_0005664'],36482414,2022-12-08,0.0,0.0,441.0,['other'],['Harmonized summary statistics are not available or empty'],[]
GCST90293774,Seropositivity for enterococcus faecalis v583 peptide (agilent_53519),['EFO_0803620'],['EFO_0803620'],37164013,2023-04-25,0.0,0.0,1745.0,['Lifelines' 'other'],['Harmonized summary statistics are not available or empty'],[]
GCST90294848,Seropositivity for bacteria peptide (agilent_234060),['EFO_0803593'],['EFO_0803593'],37164013,2023-04-25,0.0,0.0,1745.0,['Lifelines' 'other'],['Harmonized summary statistics are not available or empty'],[]
GCST90295198,Seropositivity for human poliovirus peptide (twist_30164),['EFO_0803686'],['EFO_0803686'],37164013,2023-04-25,0.0,0.0,1745.0,['Lifelines' 'other'],['Harmonized summary statistics are not available or empty'],[]
GCST90295339,Seropositivity for ruminococcus torques (agilent_30187),['EFO_0803647'],['EFO_0803647'],37164013,2023-04-25,0.0,0.0,1745.0,['Lifelines' 'other'],['Harmonized summary statistics are not available or empty'],[]
GCST90295651,Seropositivity for streptococcus peptide (agilent_9481),['EFO_0803651'],['EFO_0803651'],37164013,2023-04-25,0.0,0.0,1745.0,['Lifelines' 'other'],['Harmonized summary statistics are not available or empty'],[]
GCST90296345,Allergen component sensitization (Cupressus arizonica 1),['EFO_0005298'],['EFO_0005298'],37780799,2023-02-20,261.0,303.0,564.0,['other'],['Harmonized summary statistics are not available or empty'],[]
GCST90297697,ICD10 I10: essential hypertension (CNV duplication-only model),['MONDO_0001134'],['MONDO_0001134'],38185688,2024-01-08,97860.0,179146.0,277006.0,['UKB'],['Harmonized summary statistics are not available or empty'],[]
GCST90300911,Metabolite levels (C54:1 TAG; C54_1_TAG),['EFO_0005664'],['EFO_0005664'],37253714,2023-05-30,0.0,0.0,2100.0,['ARIC' 'HCHS' 'SOL' 'FHS' 'CHS' 'MESA'],['Harmonized summary statistics are not available or empty'],[]
GCST90302687,Left-hemisphere somatomotor network to amygdala white-matter structural connectivity,['OBA_2045295'],['OBA_2045295'],38438384,2024-03-04,0.0,0.0,26333.0,['UKB'],[],[]
GCST90302930,Facial morphology (D84),['EFO_0004743'],['EFO_0004743'],37156940,2023-05-08,0.0,0.0,5988.0,['CANDELA'],['Harmonized summary statistics are not available or empty'],[]
GCST90309926,Hand grip strength right (UKB data field 47),['EFO_0006941'],['EFO_0006941'],38351177,2024-02-13,0.0,0.0,174488.0,['UKB'],['The number of SNPs in the study is below the expected threshold'],[]
GCST90309927,Waist circumference (UKB data field 48),['OBA_1001085'],['OBA_1001085'],38351177,2024-02-13,0.0,0.0,174488.0,['UKB'],['The number of SNPs in the study is below the expected threshold'],[]
GCST90317964,Cerebrospinal fluid 3-hydroxy-2-ethylpropionate levels,['EFO_0800014' 'OBA_2045291'],['EFO_0800014' 'OBA_2045291'],39528826,2024-11-11,0.0,0.0,2602.0,['Knight_ADRC' 'DIAN' 'Barcelona-1' 'ADNI' 'GR@ACE' 'WADRC' 'WRAP'],[],['Metabolite']
GCST90318720,Brain 2-methylserine levels,['EFO_0800087'],['EFO_0800087'],39528826,2024-11-11,0.0,0.0,1016.0,['Knight_ADRC' 'ROSMAP' 'MAYO'],[],['Metabolite']
GCST90318821,Brain donepezil levels,['EFO_0004725'],['EFO_0004725'],39528826,2024-11-11,0.0,0.0,820.0,['Knight_ADRC' 'ROSMAP' 'MAYO'],[],['Metabolite']
GCST90318889,Brain 1-palmitoyl-2-linoleoyl-GPC (16:0/18:2) levels,['EFO_0800610'],['EFO_0800610'],39528826,2024-11-11,0.0,0.0,1016.0,['Knight_ADRC' 'ROSMAP' 'MAYO'],[],['Metabolite']
GCST90319525,Apolipoprotein C-II levels,['OBA_2040625'],['OBA_2040625'],37479695,2023-07-21,0.0,0.0,10241.0,['NR'],['Harmonized summary statistics are not available or empty'],[]
GCST90386424,REST UKBBICA NET100 0570,['EFO_0004346'],['EFO_0004346'],38811844,2024-05-29,0.0,0.0,7058.0,['CHIMGEN'],[],[]
GCST90386819,REST UKBBICA NET100 0965,['EFO_0004346'],['EFO_0004346'],38811844,2024-05-29,0.0,0.0,7058.0,['CHIMGEN'],[],[]
GCST90389558,REST UKBBICA NET100 0290,['EFO_0004346'],['EFO_0004346'],38811844,2024-05-29,0.0,0.0,40282.0,['UKB' 'CHIMGEN'],[],[]
GCST90389740,REST UKBBICA NET100 0472,['EFO_0004346'],['EFO_0004346'],38811844,2024-05-29,0.0,0.0,40282.0,['UKB' 'CHIMGEN'],[],[]
GCST90389912,REST UKBBICA NET100 0644,['EFO_0004346'],['EFO_0004346'],38811844,2024-05-29,0.0,0.0,40282.0,['UKB' 'CHIMGEN'],[],[]
GCST90390409,REST UKBBICA NET100 1141,['EFO_0004346'],['EFO_0004346'],38811844,2024-05-29,0.0,0.0,40282.0,['UKB' 'CHIMGEN'],[],[]
GCST90431915,Right brain hemisphere region 9a cortical thickness,['EFO_0004346'],['EFO_0004346'],39271676,2024-09-13,0.0,0.0,14255.0,['UKB'],[],[]
GCST90433289,"Frataxin, mitochondrial levels",['OBA_2041637'],['OBA_2041637'],37794183,2023-10-04,0.0,0.0,46327.0,['UKB-PPP'],['Harmonized summary statistics are not available or empty'],[]
GCST90445973,Free cholesterol to total lipids in medium LDL percentage (UKB data field 23622),['EFO_0022283'],['EFO_0022283'],39278973,2024-09-15,0.0,0.0,94177.0,['UKBB'],[],['Metabolite']
GCST90455597,Systolic blood pressure response to thiazide diuretics (absolute difference),['EFO_0006335' 'OBA_2040083'],['EFO_0006335' 'OBA_2040083'],40133288,2025-03-25,0.0,0.0,2145.0,['UKB'],[],[]
GCST90475272,"Chronic lung diseases including COPD, Emphysema and Bronchitis",['EFO_0009910'],['EFO_0009910'],39024449,2024-07-19,38732.0,276936.0,315668.0,['MVP'],[],[]
GCST90477039,Streptococcus infection (PheCode 41.2),['EFO_1001476'],['EFO_1001476'],39024449,2024-07-19,3365.0,440508.0,443873.0,['MVP'],['Harmonized summary statistics are not available or empty'],[]
GCST90477205,Cervical intraepithelial neoplasia [CIN] [Cervical dysplasia] (PheCode 180.3),['EFO_1000910'],['EFO_1000910'],39024449,2024-07-19,1538.0,30533.0,32071.0,['MVP'],['Harmonized summary statistics are not available or empty'],[]
GCST90480456,Other specified erythematous conditions (PheCode 695.8),['EFO_0000701'],['EFO_0000701'],39024449,2024-07-19,6875.0,612927.0,619802.0,['MVP'],[],[]
GCST90481232,Do you drink alcohol?,['EFO_0004329'],['EFO_0004329'],39024449,2024-07-19,18855.0,15673.0,34528.0,['MVP'],['Harmonized summary statistics are not available or empty'],[]
GCST90481567,Graves' disease (PheCode 242.1),['EFO_0004237'],['EFO_0004237'],39024449,2024-07-19,279.0,59541.0,59820.0,['MVP'],['Harmonized summary statistics are not available or empty'],[]
GCST90481662,Abnormal coagulation profile (PheCode 286.9),['EFO_0009314'],['EFO_0009314'],39024449,2024-07-19,305.0,59014.0,59319.0,['MVP'],['Harmonized summary statistics are not available or empty'],[]
GCST90482535,Open wound of lip and mouth (PheCode 870.5),['EFO_0009505'],['EFO_0009505'],39024449,2024-07-19,299.0,449017.0,449316.0,['MVP'],['Harmonized summary statistics are not available or empty'],[]
GCST90503435,Flt3L levels,['EFO_0010785'],['EFO_0010785'],38326779,2024-02-08,0.0,0.0,359.0,['500FG' '300BCG'],['Harmonized summary statistics are not available or empty'],[]
GCST90503488,Prostate cancer (early onset),['MONDO_0008315'],['MONDO_0008315'],38632662,2024-04-17,205.0,28520.0,28725.0,['UKB'],['Harmonized summary statistics are not available or empty'],[]
FINNGEN_R12_C3_PAROTIDGLAND_EXALLC,"Malignant neoplasm of parotid gland, excluding all cancers (controls excluding all cancers)",['MONDO_0004700'],['MONDO_0004700'],,,324.0,378749.0,379073.0,['FinnGen'],[],[]
FINNGEN_R12_CD2_BENIGN_BONE_LONG_LOWER,Benign neoplasm: Long bones of lower limb,['MONDO_0000631'],['MONDO_0000631'],,,1215.0,499133.0,500348.0,['FinnGen'],[],[]
FINNGEN_R12_COPD_LATER,Later onset COPD,['EFO_0000341'],['EFO_0000341'],,,13535.0,215585.0,229120.0,['FinnGen'],[],[]
GCST000274_2,Metabolite levels,['EFO_0004529'],['EFO_0004529'],19043545,2008-11-28,0.0,0.0,284.0,,['Harmonized summary statistics are not available or empty'],[]
GCST001083,Major depressive disorder,['MONDO_0002009'],['MONDO_0002009'],21621269,2011-05-26,1726.0,1630.0,3356.0,,['Harmonized summary statistics are not available or empty'],[]
GCST001261,Corneal structure,['MONDO_0015486'],['MONDO_0015486'],21979947,2011-10-06,222.0,3324.0,3546.0,,['Harmonized summary statistics are not available or empty'],[]
GCST001912,Acute lymphoblastic leukemia (childhood),['EFO_0000220'],['EFO_0000220'],23512250,2013-03-19,1366.0,3757.0,5123.0,,['Harmonized summary statistics are not available or empty'],[]
GCST002500,QT interval,['EFO_0004682'],['EFO_0004682'],24952745,2014-06-22,0.0,0.0,71061.0,,['Harmonized summary statistics are not available or empty'],[]
GCST002576,Epithelial ovarian cancer,['MONDO_0018364'],['MONDO_0018364'],25134534,2014-08-19,1044.0,1172.0,2216.0,,['Harmonized summary statistics are not available or empty'],[]
GCST002609,Iron status biomarkers,['EFO_0006334'],['EFO_0006334'],25224454,2014-09-15,0.0,0.0,2347.0,,['Harmonized summary statistics are not available or empty'],[]
GCST002922,Multiple myeloma and monoclonal gammopathy,['EFO_0000203' 'EFO_0001378'],['EFO_0000203' 'EFO_0001378'],26007630,2015-05-26,2445.0,294390.0,296835.0,,['Harmonized summary statistics are not available or empty'],[]
GCST004030,Primary sclerosing cholangitis,['EFO_0004268'],['EFO_0004268'],27992413,2016-12-19,2871.0,12019.0,14890.0,,[],[]
GCST004285,Midgestational circulating levels of PBDEs,['EFO_0007961' 'EFO_0007962' 'EFO_0007964'],['EFO_0007961' 'EFO_0007962' 'EFO_0007964'],28235828,2017-04-03,0.0,0.0,790.0,,['Harmonized summary statistics are not available or empty'],[]
GCST006283,Proliferative diabetic retinopathy in type 2 diabetes,['EFO_0009322'],['EFO_0009322'],29739359,2018-05-08,176.0,435.0,611.0,,['Harmonized summary statistics are not available or empty'],[]
GCST008336,Mean platelet volume,['OBA_0003277'],['OBA_0003277'],31080455,2019-04-26,0.0,0.0,1624.0,,['Harmonized summary statistics are not available or empty'],[]
GCST010313_4,Serum polyunsaturated fatty acid concentration x sex interaction in metabolic syndrome,['EFO_0008343' 'EFO_0010119'],['EFO_0008343' 'EFO_0010119'],31991592,2020-01-24,0.0,0.0,426.0,,['Harmonized summary statistics are not available or empty'],[]
GCST012163,Adiponectin levels x Mediterranean diet adherence interaction,['EFO_0004502' 'EFO_0008111'],['EFO_0004502' 'EFO_0008111'],33562295,2021-02-07,0.0,0.0,954.0,,['Harmonized summary statistics are not available or empty'],[]
GCST90003373,aparc-a2009s rh area G+S-paracentral,['EFO_0008381'],['EFO_0008381'],33875891,2021-04-19,0.0,0.0,21282.0,['UKB'],[],[]
GCST90003465,aparc-Desikan lh thickness pericalcarine,['EFO_0004840'],['EFO_0004840'],33875891,2021-04-19,0.0,0.0,21282.0,['UKB'],[],[]
GCST90003530,BA-exvivo rh thickness BA3b,['EFO_0004840'],['EFO_0004840'],33875891,2021-04-19,0.0,0.0,21281.0,['UKB'],[],[]
GCST90004836,rfMRI connectivity (ICA25 edge 193),['OBA_2045295'],['OBA_2045295'],33875891,2021-04-19,0.0,0.0,21081.0,['UKB'],[],[]
GCST90004896,rfMRI connectivity (ICA100 edge 43),['OBA_2045295'],['OBA_2045295'],33875891,2021-04-19,0.0,0.0,21081.0,['UKB'],['Harmonized summary statistics are not available or empty'],[]
GCST90005698,rfMRI connectivity (ICA100 edge 845),['OBA_2045295'],['OBA_2045295'],33875891,2021-04-19,0.0,0.0,21081.0,['UKB'],[],[]
GCST90011312,F_Erysipelotrichaceae abundance,['EFO_0007874'],['EFO_0007874'],33462482,2021-01-18,0.0,0.0,8956.0,['POPGEN' 'FOCUS' 'KORA' 'SHIP' 'SHIP-TREND'],[],[]
GCST90013090,Brain shape (segment 211),['OBA_2045210'],['OBA_2045210'],33821002,2021-04-05,0.0,0.0,19670.0,['UKB'],['Harmonized summary statistics are not available or empty'],['Multivariate analysis']
GCST90013698,Endometrial cancer,['EFO_1001512'],['EFO_1001512'],32514122,2020-06-08,999.0,89731.0,90730.0,['BBJ'],['Harmonized summary statistics are not available or empty'],[]
GCST90018658,Malignant lymphoma,['EFO_0000574'],['EFO_0000574'],34594039,2021-09-30,335.0,177342.0,177677.0,['BBJ'],[],[]
GCST90025134,Sulfatide (d18:1/16:0) levels,['EFO_0010222'],['EFO_0010222'],35668104,2022-06-06,0.0,0.0,6057.0,['BHS' 'ADNI' 'AIBL'],[],['Metabolite']
GCST90025664,Alkenylphosphatidylethanolamine (P-18:1/18:1) (a) levels,['EFO_0010228'],['EFO_0010228'],35668104,2022-06-06,0.0,0.0,4492.0,['BHS'],[],['Metabolite']
GCST90025822,Total Dihydroceramide levels,['EFO_0010222'],['EFO_0010222'],35668104,2022-06-06,0.0,0.0,4492.0,['BHS'],[],['Metabolite']
GCST90026198,Methionine sulfoxide levels,['EFO_0004725'],['EFO_0004725'],33437055,2021-01-12,0.0,0.0,291.0,,[],['Metabolite']
GCST90026245,Palmitoyl sphingomyelin (d18:1/16:0) levels,['EFO_0004725'],['EFO_0004725'],33437055,2021-01-12,0.0,0.0,291.0,,[],['Metabolite']
GCST90026424,Visceral adipose tissue volume,['OBA_2045224'],['OBA_2045224'],34239500,2021-06-22,0.0,0.0,4403.0,['UKB'],['Harmonized summary statistics are not available or empty'],[]
GCST90029090,Aspartate aminotransferase levels,['EFO_0004736'],['EFO_0004736'],34376796,2021-08-11,0.0,0.0,2559.0,,['Harmonized summary statistics are not available or empty'],[]
