studyId,traitFromSource,traitFromSourceMappedIds,diseaseIds,pubmedId,publicationDate,nCases,nControls,nSamples,cohorts,qualityControls,analysisFlags
GCST90085419,ICD10 Z97.8: Presence of other specified devices (Gene-based burden),['EFO_0002571'],['EFO_0002571'],34662886,2021-10-18,1814.0,384875.0,386689.0,['UKB'],['Harmonized summary statistics are not available or empty'],[]
GCST90092960,Free cholesterol levels in small LDL,['EFO_0004611' 'EFO_0008591'],['EFO_0004611' 'EFO_0008591'],35213538,2022-02-25,0.0,0.0,115082.0,['UKB'],[],['Metabolite']
GCST90092976,Phospholipid levels in small VLDL,['EFO_0004639'],['EFO_0004639'],35213538,2022-02-25,0.0,0.0,115082.0,['UKB'],[],['Metabolite']
GCST90094279,Gut microbiota presence (Prevotella_veroralis),['EFO_0007874'],['EFO_0007874'],33563976,2021-02-09,328.0,290.0,618.0,,['Harmonized summary statistics are not available or empty'],[]
GCST90100772,Calreticulin levels,['EFO_0020221'],['EFO_0020221'],28240269,2017-02-27,0.0,0.0,997.0,['KORA'],['Harmonized summary statistics are not available or empty'],[]
GCST90100840,Coagulation Factor X levels,['OBA_2050298'],['OBA_2050298'],28240269,2017-02-27,0.0,0.0,997.0,['KORA'],['Harmonized summary statistics are not available or empty'],[]
GCST90101704,Vitamin K-dependent protein C levels,['EFO_0008318'],['EFO_0008318'],28240269,2017-02-27,0.0,0.0,997.0,['KORA'],['Harmonized summary statistics are not available or empty'],[]
GCST90102037,Phosphatidylcholines (34:1E)1 levels,['EFO_0010226'],['EFO_0010226'],35393526,2022-04-07,0.0,0.0,650.0,['AMISH'],['Harmonized summary statistics are not available or empty'],[]
GCST90102136,Sphingomyelin (d41:2)B levels,['EFO_0010118'],['EFO_0010118'],35393526,2022-04-07,0.0,0.0,650.0,['AMISH'],['Harmonized summary statistics are not available or empty'],[]
GCST90104007,Familial combined hyperlipidemia defined by Mexico criteria,['MONDO_0001336'],['MONDO_0001336'],34906840,2021-12-06,5153.0,344069.0,349222.0,['UKB'],[],[]
GCST90132665,Triglyceride levels in large VLDL,['EFO_0004530'],['EFO_0004530'],27005778,2016-03-23,0.0,0.0,21239.0,"['EGCUT' 'ERF' 'FTC' 'FINRISK' 'COROGENE' 'GenMets' 'HBCS' 'KORA' 'LLS'
 'NTR' 'NFBC' 'YFS']",[],['Metabolite']
GCST90134513,Liver enzyme levels (gamma-glutamyl transferase),['EFO_0004532'],['EFO_0004532'],35810165,2022-07-09,0.0,0.0,5694.0,['UKB'],['Harmonized summary statistics are not available or empty'],[]
GCST90139426,N-acetyltryptophan levels,['EFO_0800018'],['EFO_0800018'],35347128,2022-03-28,0.0,0.0,6136.0,['METSIM'],['Harmonized summary statistics are not available or empty'],[]
GCST90140180,Valerate (5:0) levels,['EFO_0800603'],['EFO_0800603'],35347128,2022-03-28,0.0,0.0,6136.0,['METSIM'],['Harmonized summary statistics are not available or empty'],[]
GCST90176401,Metabolite peak levels (QI10330),['EFO_0004725'],['EFO_0004725'],35995766,2022-08-22,0.0,0.0,2466.0,['JHS'],['Harmonized summary statistics are not available or empty'],['Metabolite']
GCST90178549,Metabolite peak levels (QI9508),['EFO_0004725'],['EFO_0004725'],35995766,2022-08-22,0.0,0.0,2466.0,['JHS'],['Harmonized summary statistics are not available or empty'],['Metabolite']
GCST90200802,Histidine to pyruvate ratio,['EFO_0022223'],['EFO_0022223'],36635386,2023-01-12,0.0,0.0,8241.0,['CLSA'],[],['Metabolite']
GCST90203639,N-acetyl-isoputreanine levels,['EFO_0800107'],['EFO_0800107'],36635386,2023-01-12,0.0,0.0,107.0,['CLSA'],[],['Metabolite']
GCST90243549,X-09108 levels,['EFO_0021209'],['EFO_0021209'],24816252,2014-05-11,0.0,0.0,6910.0,['TwinsUK' 'KORA'],[],['Metabolite']
GCST90245469,Umbelliferone sulfate levels,['EFO_0801006'],['EFO_0801006'],36357675,2022-11-10,0.0,0.0,14296.0,['INTERVAL' 'EPIC-Norfolk'],['Harmonized summary statistics are not available or empty'],[]
GCST90247720,GDNF family receptor alpha-2 levels,['EFO_0008138'],['EFO_0008138'],34648354,2021-11-12,0.0,0.0,10708.0,['other'],['Harmonized summary statistics are not available or empty'],[]
GCST90248130,Isthmin-1 levels,['EFO_0801737'],['EFO_0801737'],34648354,2021-11-12,0.0,0.0,10708.0,['other'],['Harmonized summary statistics are not available or empty'],[]
GCST90248883,Protocadherin beta-2 levels,['EFO_0801975'],['EFO_0801975'],34648354,2021-11-12,0.0,0.0,10708.0,['other'],['Harmonized summary statistics are not available or empty'],[]
GCST90257394,C24:1 Sphingomyelin levels in chronic kidney disease,['EFO_0010118'],['EFO_0010118'],35120996,2022-02-01,0.0,0.0,822.0,['CRIC'],[],['Metabolite']
GCST90265281,Urine glyco-beta-muricholate** levels in chronic kidney disease,['EFO_0800569'],['EFO_0800569'],37277652,2023-06-05,0.0,0.0,4179.0,['GCKD'],[],['Metabolite']
GCST90265315,Urine guanidinoacetate levels in chronic kidney disease,['EFO_0800135'],['EFO_0800135'],37277652,2023-06-05,0.0,0.0,4911.0,['GCKD'],[],['Metabolite']
GCST90265857,Plasma pregnanediol-3-glucuronide levels in chronic kidney disease,['EFO_0800341'],['EFO_0800341'],37277652,2023-06-05,0.0,0.0,4539.0,['GCKD'],[],['Metabolite']
