Gene symbol,Ensembl gene ID,Disease name,EFO ID,Therapeutic area,gPS,Number of therapeutic areas
TLR1,ENSG00000174125,Lyme disease,EFO_0008510,infectious disease,19,7
SCGB1D2,ENSG00000124935,Lyme disease,EFO_0008510,infectious disease,2,1
CRP,ENSG00000132693,bacterial disease,EFO_0000771,infectious disease,9,3
ADCY3,ENSG00000138031,bacterial disease,EFO_0000771,infectious disease,10,6
APOE,ENSG00000130203,bacterial disease,EFO_0000771,infectious disease,107,16
SLC7A10,ENSG00000130876,allergic asthma,MONDO_0004784,respiratory or thoracic disease,26,9
D2HGDH,ENSG00000180902,allergic asthma,MONDO_0004784,respiratory or thoracic disease,20,8
SPATA32,ENSG00000184361,allergic asthma,MONDO_0004784,respiratory or thoracic disease,4,2
MPHOSPH9,ENSG00000051825,allergic asthma,MONDO_0004784,respiratory or thoracic disease,19,8
FASLG,ENSG00000117560,allergic asthma,MONDO_0004784,respiratory or thoracic disease,17,10
ICE2,ENSG00000128915,allergic asthma,MONDO_0004784,respiratory or thoracic disease,8,5
IL13,ENSG00000169194,allergic asthma,MONDO_0004784,respiratory or thoracic disease,25,10
SMAD3,ENSG00000166949,allergic asthma,MONDO_0004784,respiratory or thoracic disease,82,16
PDE1B,ENSG00000123360,allergic asthma,MONDO_0004784,respiratory or thoracic disease,1,1
ID2,ENSG00000115738,allergic asthma,MONDO_0004784,respiratory or thoracic disease,17,9
WDR36,ENSG00000134987,allergic asthma,MONDO_0004784,respiratory or thoracic disease,17,7
NCOR2,ENSG00000196498,allergic asthma,MONDO_0004784,respiratory or thoracic disease,18,7
GSDMB,ENSG00000073605,allergic asthma,MONDO_0004784,respiratory or thoracic disease,36,12
ARRDC1,ENSG00000197070,allergic asthma,MONDO_0004784,respiratory or thoracic disease,7,3
IL4R,ENSG00000077238,allergic asthma,MONDO_0004784,respiratory or thoracic disease,15,7
PHOSPHO1,ENSG00000173868,allergic asthma,MONDO_0004784,respiratory or thoracic disease,6,4
CRLF2,ENSG00000205755,allergic asthma,MONDO_0004784,respiratory or thoracic disease,6,3
LRRC32,ENSG00000137507,allergic asthma,MONDO_0004784,respiratory or thoracic disease,36,10
FLG,ENSG00000143631,allergic asthma,MONDO_0004784,respiratory or thoracic disease,24,9
IL1RL1,ENSG00000115602,allergic asthma,MONDO_0004784,respiratory or thoracic disease,24,8
LIME1,ENSG00000203896,allergic asthma,MONDO_0004784,respiratory or thoracic disease,8,6
CSF2RA,ENSG00000198223,asthma,MONDO_0004979,respiratory or thoracic disease,6,3
AGO2,ENSG00000123908,autoimmune disease,EFO_0005140,immune system disease,8,6
FOXP1,ENSG00000114861,autoimmune disease,EFO_0005140,immune system disease,51,12
TNFSF8,ENSG00000106952,autoimmune disease,EFO_0005140,immune system disease,8,5
NEK6,ENSG00000119408,autoimmune disease,EFO_0005140,immune system disease,23,10
CD44,ENSG00000026508,autoimmune disease,EFO_0005140,immune system disease,10,8
MYC,ENSG00000136997,autoimmune disease,EFO_0005140,immune system disease,50,9
ARHGAP9,ENSG00000123329,autoimmune disease,EFO_0005140,immune system disease,1,1
IRAK1,ENSG00000184216,autoimmune disease,EFO_0005140,immune system disease,4,3
ENDOD1,ENSG00000149218,autoimmune disease,EFO_0005140,immune system disease,1,1
MTF1,ENSG00000188786,autoimmune disease,EFO_0005140,immune system disease,1,1
RAVER2,ENSG00000162437,autoimmune disease,EFO_0005140,immune system disease,6,4
KIF21B,ENSG00000116852,autoimmune disease,EFO_0005140,immune system disease,7,4
TNS1,ENSG00000079308,autoimmune disease,EFO_0005140,immune system disease,26,11
NR3C2,ENSG00000151623,autoimmune disease,EFO_0005140,immune system disease,13,7
RBM17,ENSG00000134453,autoimmune disease,EFO_0005140,immune system disease,9,5
BACH2,ENSG00000112182,autoimmune disease,EFO_0005140,immune system disease,46,13
LRRC32,ENSG00000137507,autoimmune disease,EFO_0005140,immune system disease,36,10
TYK2,ENSG00000105397,autoimmune disease,EFO_0005140,immune system disease,27,12
MAF,ENSG00000178573,autoimmune disease,EFO_0005140,immune system disease,28,8
ITM2A,ENSG00000078596,autoimmune disease,EFO_0005140,immune system disease,4,4
GNA12,ENSG00000146535,autoimmune disease,EFO_0005140,immune system disease,12,7
RPIA,ENSG00000153574,autoimmune disease,EFO_0005140,immune system disease,7,5
IL7R,ENSG00000168685,autoimmune disease,EFO_0005140,immune system disease,29,9
IFIH1,ENSG00000115267,autoimmune disease,EFO_0005140,immune system disease,24,12
VAV3,ENSG00000134215,autoimmune disease,EFO_0005140,immune system disease,7,3
NKX2-3,ENSG00000119919,autoimmune disease,EFO_0005140,immune system disease,26,9
MB21D2,ENSG00000180611,autoimmune disease,EFO_0005140,immune system disease,3,3
ABO,ENSG00000175164,autoimmune disease,EFO_0005140,immune system disease,105,20
MBIP,ENSG00000151332,autoimmune disease,EFO_0005140,immune system disease,14,5
C1QTNF6,ENSG00000133466,autoimmune disease,EFO_0005140,immune system disease,11,5
USP25,ENSG00000155313,autoimmune disease,EFO_0005140,immune system disease,12,7
TCF7,ENSG00000081059,autoimmune disease,EFO_0005140,immune system disease,14,7
JAZF1,ENSG00000153814,autoimmune disease,EFO_0005140,immune system disease,42,13
DTNB,ENSG00000138101,autoimmune disease,EFO_0005140,immune system disease,7,3
IQCN,ENSG00000130518,autoimmune disease,EFO_0005140,immune system disease,4,3
CLNK,ENSG00000109684,autoimmune disease,EFO_0005140,immune system disease,13,7
ACOXL,ENSG00000153093,autoimmune disease,EFO_0005140,immune system disease,23,8
CTLA4,ENSG00000163599,autoimmune disease,EFO_0005140,immune system disease,26,9
IRF5,ENSG00000128604,autoimmune disease,EFO_0005140,immune system disease,32,10
SYNGR1,ENSG00000100321,autoimmune disease,EFO_0005140,immune system disease,6,5
PRKCQ,ENSG00000065675,autoimmune disease,EFO_0005140,immune system disease,14,8
TPO,ENSG00000115705,autoimmune disease,EFO_0005140,immune system disease,7,3
PTPRC,ENSG00000081237,autoimmune disease,EFO_0005140,immune system disease,22,10
NFKBIZ,ENSG00000144802,autoimmune disease,EFO_0005140,immune system disease,7,4
ZFP36L1,ENSG00000185650,autoimmune disease,EFO_0005140,immune system disease,28,11
IRF4,ENSG00000137265,autoimmune disease,EFO_0005140,immune system disease,62,13
ADCY7,ENSG00000121281,autoimmune disease,EFO_0005140,immune system disease,11,4
GPR35,ENSG00000178623,autoimmune disease,EFO_0005140,immune system disease,12,5
HIPK2,ENSG00000064393,autoimmune disease,EFO_0005140,immune system disease,5,5
RMI2,ENSG00000175643,autoimmune disease,EFO_0005140,immune system disease,5,4
ITGB8,ENSG00000105855,autoimmune disease,EFO_0005140,immune system disease,17,7
RPS26,ENSG00000197728,autoimmune disease,EFO_0005140,immune system disease,26,11
NPAS2,ENSG00000170485,autoimmune disease,EFO_0005140,immune system disease,5,5
RAD51B,ENSG00000182185,autoimmune disease,EFO_0005140,immune system disease,32,12
SH2B3,ENSG00000111252,autoimmune disease,EFO_0005140,immune system disease,87,17
AFF3,ENSG00000144218,autoimmune disease,EFO_0005140,immune system disease,12,7
STAT4,ENSG00000138378,autoimmune disease,EFO_0005140,immune system disease,33,11
PMEL,ENSG00000185664,autoimmune disease,EFO_0005140,immune system disease,1,1
IRF7,ENSG00000185507,autoimmune disease,EFO_0005140,immune system disease,7,6
ANKRD55,ENSG00000164512,autoimmune disease,EFO_0005140,immune system disease,39,14
IRF1,ENSG00000125347,autoimmune disease,EFO_0005140,immune system disease,43,14
PPARG,ENSG00000132170,autoimmune disease,EFO_0005140,immune system disease,20,14
ZAP70,ENSG00000115085,autoimmune disease,EFO_0005140,immune system disease,11,6
ADCY3,ENSG00000138031,autoimmune disease,EFO_0005140,immune system disease,10,6
TMEM121,ENSG00000184986,autoimmune disease,EFO_0005140,immune system disease,10,5
POMC,ENSG00000115138,autoimmune disease,EFO_0005140,immune system disease,10,7
DNMT3A,ENSG00000119772,autoimmune disease,EFO_0005140,immune system disease,20,7
ALDH2,ENSG00000111275,autoimmune disease,EFO_0005140,immune system disease,23,11
CAPZB,ENSG00000077549,autoimmune disease,EFO_0005140,immune system disease,11,4
PSMC3IP,ENSG00000131470,autoimmune disease,EFO_0005140,immune system disease,5,4
XCR1,ENSG00000173578,autoimmune disease,EFO_0005140,immune system disease,5,5
FUT2,ENSG00000176920,autoimmune disease,EFO_0005140,immune system disease,43,15
SERTAD2,ENSG00000179833,autoimmune disease,EFO_0005140,immune system disease,3,3
PTGER4,ENSG00000171522,autoimmune disease,EFO_0005140,immune system disease,38,12
SOX4,ENSG00000124766,autoimmune disease,EFO_0005140,immune system disease,26,8
ST3GAL6,ENSG00000064225,autoimmune disease,EFO_0005140,immune system disease,5,5
PIK3R5,ENSG00000141506,autoimmune disease,EFO_0005140,immune system disease,5,3
SKAP2,ENSG00000005020,autoimmune disease,EFO_0005140,immune system disease,4,4
TESPA1,ENSG00000135426,autoimmune disease,EFO_0005140,immune system disease,13,6
VEGFA,ENSG00000112715,autoimmune disease,EFO_0005140,immune system disease,47,14
KPNB1,ENSG00000108424,autoimmune disease,EFO_0005140,immune system disease,4,4
FOXA2,ENSG00000125798,autoimmune disease,EFO_0005140,immune system disease,17,10
SATB1,ENSG00000182568,autoimmune disease,EFO_0005140,immune system disease,26,11
RAB2A,ENSG00000104388,autoimmune disease,EFO_0005140,immune system disease,9,5
RPS10,ENSG00000124614,autoimmune disease,EFO_0005140,immune system disease,3,3
FOXE1,ENSG00000178919,autoimmune disease,EFO_0005140,immune system disease,21,6
ILRUN,ENSG00000196821,autoimmune disease,EFO_0005140,immune system disease,18,12
GLIS3,ENSG00000107249,autoimmune disease,EFO_0005140,immune system disease,33,13
LPP,ENSG00000145012,autoimmune disease,EFO_0005140,immune system disease,59,14
TMEM164,ENSG00000157600,autoimmune disease,EFO_0005140,immune system disease,1,1
APOBR,ENSG00000184730,autoimmune disease,EFO_0005140,immune system disease,19,9
GATA3,ENSG00000107485,autoimmune disease,EFO_0005140,immune system disease,34,10
TNFRSF6B,ENSG00000243509,autoimmune disease,EFO_0005140,immune system disease,11,7
TRIB2,ENSG00000071575,autoimmune disease,EFO_0005140,immune system disease,10,5
ATP5MG,ENSG00000167283,autoimmune disease,EFO_0005140,immune system disease,3,3
ZC3HAV1,ENSG00000105939,autoimmune disease,EFO_0005140,immune system disease,4,3
ADCY9,ENSG00000162104,autoimmune disease,EFO_0005140,immune system disease,9,7
PDE8B,ENSG00000113231,autoimmune disease,EFO_0005140,immune system disease,11,4
SH2D2A,ENSG00000027869,autoimmune disease,EFO_0005140,immune system disease,6,4
CD28,ENSG00000178562,autoimmune disease,EFO_0005140,immune system disease,15,8
POM121C,ENSG00000272391,autoimmune disease,EFO_0005140,immune system disease,10,4
RASGRP1,ENSG00000172575,autoimmune disease,EFO_0005140,immune system disease,24,10
STAT5B,ENSG00000173757,autoimmune disease,EFO_0005140,immune system disease,4,3
IL2,ENSG00000109471,autoimmune disease,EFO_0005140,immune system disease,16,8
TLR3,ENSG00000164342,autoimmune disease,EFO_0005140,immune system disease,6,4
PPP2CA,ENSG00000113575,autoimmune disease,EFO_0005140,immune system disease,1,1
PRR5L,ENSG00000135362,autoimmune disease,EFO_0005140,immune system disease,10,5
CD69,ENSG00000110848,autoimmune disease,EFO_0005140,immune system disease,6,4
SWAP70,ENSG00000133789,autoimmune disease,EFO_0005140,immune system disease,8,4
CEP57,ENSG00000166037,autoimmune disease,EFO_0005140,immune system disease,15,7
SCML4,ENSG00000146285,autoimmune disease,EFO_0005140,immune system disease,4,4
PRXL2B,ENSG00000157870,autoimmune disease,EFO_0005140,immune system disease,12,7
B3GNT2,ENSG00000170340,autoimmune disease,EFO_0005140,immune system disease,15,7
TIMP4,ENSG00000157150,autoimmune disease,EFO_0005140,immune system disease,10,8
TG,ENSG00000042832,autoimmune disease,EFO_0005140,immune system disease,15,4
SMIM20,ENSG00000250317,autoimmune disease,EFO_0005140,immune system disease,13,6
PFKFB3,ENSG00000170525,autoimmune disease,EFO_0005140,immune system disease,5,5
MACIR,ENSG00000181751,autoimmune disease,EFO_0005140,immune system disease,16,8
GPR25,ENSG00000170128,autoimmune disease,EFO_0005140,immune system disease,3,2
RSBN1,ENSG00000081019,autoimmune disease,EFO_0005140,immune system disease,4,4
PPIL3,ENSG00000240344,autoimmune disease,EFO_0005140,immune system disease,2,2
PTPN2,ENSG00000175354,autoimmune disease,EFO_0005140,immune system disease,23,10
TNFRSF11B,ENSG00000164761,autoimmune disease,EFO_0005140,immune system disease,11,7
IRF8,ENSG00000140968,autoimmune disease,EFO_0005140,immune system disease,27,9
COG6,ENSG00000133103,autoimmune disease,EFO_0005140,immune system disease,19,10
NCF1,ENSG00000158517,autoimmune disease,EFO_0005140,immune system disease,9,7
OLIG3,ENSG00000177468,autoimmune disease,EFO_0005140,immune system disease,18,10
TNFAIP3,ENSG00000118503,autoimmune disease,EFO_0005140,immune system disease,21,10
LCP1,ENSG00000136167,autoimmune disease,EFO_0005140,immune system disease,1,1
SIT1,ENSG00000137078,autoimmune disease,EFO_0005140,immune system disease,1,1
PDE10A,ENSG00000112541,autoimmune disease,EFO_0005140,immune system disease,9,5
HDGFL1,ENSG00000112273,autoimmune disease,EFO_0005140,immune system disease,27,8
CD226,ENSG00000150637,autoimmune disease,EFO_0005140,immune system disease,13,10
PCSK7,ENSG00000160613,autoimmune disease,EFO_0005140,immune system disease,1,1
TMEM71,ENSG00000165071,autoimmune disease,EFO_0005140,immune system disease,1,1
ANKS1A,ENSG00000064999,autoimmune disease,EFO_0005140,immune system disease,8,6
RETNLB,ENSG00000163515,autoimmune disease,EFO_0005140,immune system disease,2,2
FLT3,ENSG00000122025,autoimmune disease,EFO_0005140,immune system disease,8,5
CCDC88B,ENSG00000168071,autoimmune disease,EFO_0005140,immune system disease,18,9
CHRNA9,ENSG00000174343,autoimmune disease,EFO_0005140,immune system disease,6,3
PLCL1,ENSG00000115896,autoimmune disease,EFO_0005140,immune system disease,23,8
TBX21,ENSG00000073861,autoimmune disease,EFO_0005140,immune system disease,9,5
RTKN2,ENSG00000182010,autoimmune disease,EFO_0005140,immune system disease,10,6
SASH1,ENSG00000111961,autoimmune disease,EFO_0005140,immune system disease,7,4
KCNRG,ENSG00000198553,autoimmune disease,EFO_0005140,immune system disease,16,8
TNRC18,ENSG00000182095,autoimmune disease,EFO_0005140,immune system disease,46,12
PTPN22,ENSG00000134242,autoimmune disease,EFO_0005140,immune system disease,71,15
TRAF1,ENSG00000056558,autoimmune disease,EFO_0005140,immune system disease,8,5
PRAG1,ENSG00000275342,autoimmune disease,EFO_0005140,immune system disease,15,11
PAQR5,ENSG00000137819,autoimmune disease,EFO_0005140,immune system disease,2,2
RHOH,ENSG00000168421,autoimmune disease,EFO_0005140,immune system disease,4,4
NFATC2,ENSG00000101096,autoimmune disease,EFO_0005140,immune system disease,19,8
ACAD10,ENSG00000111271,autoimmune disease,EFO_0005140,immune system disease,7,5
GSE1,ENSG00000131149,autoimmune disease,EFO_0005140,immune system disease,3,3
PACSIN1,ENSG00000124507,autoimmune disease,EFO_0005140,immune system disease,6,4
FBXL22,ENSG00000197361,autoimmune disease,EFO_0005140,immune system disease,10,6
HIVEP2,ENSG00000010818,autoimmune disease,EFO_0005140,immune system disease,10,7
DENND1B,ENSG00000213047,autoimmune disease,EFO_0005140,immune system disease,12,7
INS,ENSG00000254647,autoimmune disease,EFO_0005140,immune system disease,14,5
ACAP1,ENSG00000072818,autoimmune disease,EFO_0005140,immune system disease,9,5
PUS10,ENSG00000162927,autoimmune disease,EFO_0005140,immune system disease,14,7
PEX13,ENSG00000162928,autoimmune disease,EFO_0005140,immune system disease,5,3
ARID5B,ENSG00000150347,autoimmune disease,EFO_0005140,immune system disease,25,11
FYN,ENSG00000010810,autoimmune disease,EFO_0005140,immune system disease,6,4
ELMO1,ENSG00000155849,autoimmune disease,EFO_0005140,immune system disease,12,6
IGFBP5,ENSG00000115461,autoimmune disease,EFO_0005140,immune system disease,9,4
IL23R,ENSG00000162594,autoimmune disease,EFO_0005140,immune system disease,32,11
IL2RA,ENSG00000134460,autoimmune disease,EFO_0005140,immune system disease,47,12
SAMD5,ENSG00000203727,autoimmune disease,EFO_0005140,immune system disease,6,3
GPR183,ENSG00000169508,autoimmune disease,EFO_0005140,immune system disease,8,5
HORMAD2,ENSG00000176635,autoimmune disease,EFO_0005140,immune system disease,19,9
UBASH3A,ENSG00000160185,autoimmune disease,EFO_0005140,immune system disease,14,8
RAB5C,ENSG00000108774,autoimmune disease,EFO_0005140,immune system disease,4,2
CBY1,ENSG00000100211,autoimmune disease,EFO_0005140,immune system disease,5,5
CLEC16A,ENSG00000038532,autoimmune disease,EFO_0005140,immune system disease,42,14
TICAM1,ENSG00000127666,autoimmune disease,EFO_0005140,immune system disease,10,5
TNPO3,ENSG00000064419,autoimmune disease,EFO_0005140,immune system disease,14,7
IL21R,ENSG00000103522,autoimmune disease,EFO_0005140,immune system disease,18,8
C12orf42,ENSG00000179088,autoimmune disease,EFO_0005140,immune system disease,12,7
CFLAR,ENSG00000003402,autoimmune disease,EFO_0005140,immune system disease,1,1
ACTR2,ENSG00000138071,autoimmune disease,EFO_0005140,immune system disease,6,4
RNASET2,ENSG00000026297,autoimmune disease,EFO_0005140,immune system disease,15,5
ORMDL3,ENSG00000172057,autoimmune disease,EFO_0005140,immune system disease,4,4
ATF1,ENSG00000123268,colorectal cancer,MONDO_0005575,cancer or benign tumor,7,4
GREM1,ENSG00000166923,colorectal cancer,MONDO_0005575,cancer or benign tumor,26,6
FERMT1,ENSG00000101311,colorectal cancer,MONDO_0005575,cancer or benign tumor,19,4
TERT,ENSG00000164362,colorectal cancer,MONDO_0005575,cancer or benign tumor,84,11
SMAD7,ENSG00000101665,colorectal cancer,MONDO_0005575,cancer or benign tumor,38,7
PTPN1,ENSG00000196396,colorectal cancer,MONDO_0005575,cancer or benign tumor,12,4
INPP5B,ENSG00000204084,colorectal cancer,MONDO_0005575,cancer or benign tumor,14,7
POU5F1B,ENSG00000212993,colorectal cancer,MONDO_0005575,cancer or benign tumor,54,8
POU2AF3,ENSG00000214290,colorectal cancer,MONDO_0005575,cancer or benign tumor,15,2
SLC6A18,ENSG00000164363,colorectal cancer,MONDO_0005575,cancer or benign tumor,7,1
CCND2,ENSG00000118971,colorectal cancer,MONDO_0005575,cancer or benign tumor,34,13
DUSP10,ENSG00000143507,colorectal cancer,MONDO_0005575,cancer or benign tumor,17,8
CHRDL2,ENSG00000054938,colorectal cancer,MONDO_0005575,cancer or benign tumor,7,3
LAMA5,ENSG00000130702,colorectal cancer,MONDO_0005575,cancer or benign tumor,21,4
HAO1,ENSG00000101323,colorectal cancer,MONDO_0005575,cancer or benign tumor,16,6
BMP2,ENSG00000125845,colorectal cancer,MONDO_0005575,cancer or benign tumor,29,9
SLC25A28,ENSG00000155287,colorectal cancer,MONDO_0005575,cancer or benign tumor,6,2
RHPN2,ENSG00000131941,colorectal cancer,MONDO_0005575,cancer or benign tumor,12,3
EIF3H,ENSG00000147677,colorectal cancer,MONDO_0005575,cancer or benign tumor,24,4
SHROOM2,ENSG00000146950,colorectal cancer,MONDO_0005575,cancer or benign tumor,5,2
RAB3GAP1,ENSG00000115839,colorectal cancer,MONDO_0005575,cancer or benign tumor,3,2
DBNDD1,ENSG00000003249,lip cancer,EFO_1001019,cancer or benign tumor,8,1
TPCN2,ENSG00000162341,cutaneous melanoma,EFO_0000389,cancer or benign tumor,17,8
STN1,ENSG00000107960,cutaneous melanoma,EFO_0000389,cancer or benign tumor,41,5
MC1R,ENSG00000258839,cutaneous melanoma,EFO_0000389,cancer or benign tumor,30,8
TUBB3,ENSG00000258947,cutaneous melanoma,EFO_0000389,cancer or benign tumor,4,2
TYR,ENSG00000077498,cutaneous melanoma,EFO_0000389,cancer or benign tumor,43,10
CDKN2B,ENSG00000147883,cutaneous melanoma,EFO_0000389,cancer or benign tumor,148,21
MTAP,ENSG00000099810,cutaneous melanoma,EFO_0000389,cancer or benign tumor,21,7
RALY,ENSG00000125970,cutaneous melanoma,EFO_0000389,cancer or benign tumor,24,7
RPA1,ENSG00000132383,cutaneous melanoma,EFO_0000389,cancer or benign tumor,14,1
MKLN1,ENSG00000128585,cutaneous melanoma,EFO_0000389,cancer or benign tumor,8,4
TEKTIP1,ENSG00000183397,cutaneous melanoma,EFO_0000389,cancer or benign tumor,2,1
MAFF,ENSG00000185022,cutaneous melanoma,EFO_0000389,cancer or benign tumor,11,4
EXO1,ENSG00000174371,cutaneous melanoma,EFO_0000389,cancer or benign tumor,13,2
MX2,ENSG00000183486,cutaneous melanoma,EFO_0000389,cancer or benign tumor,3,1
CDKAL1,ENSG00000145996,cutaneous melanoma,EFO_0000389,cancer or benign tumor,31,11
SOX4,ENSG00000124766,cutaneous melanoma,EFO_0000389,cancer or benign tumor,26,8
OCA2,ENSG00000104044,cutaneous melanoma,EFO_0000389,cancer or benign tumor,24,6
DBNDD1,ENSG00000003249,cutaneous melanoma,EFO_0000389,cancer or benign tumor,8,1
COL17A1,ENSG00000065618,cutaneous melanoma,EFO_0000389,cancer or benign tumor,7,2
GMEB2,ENSG00000101216,cutaneous melanoma,EFO_0000389,cancer or benign tumor,13,5
CTSS,ENSG00000163131,cutaneous melanoma,EFO_0000389,cancer or benign tumor,16,5
CLPTM1L,ENSG00000049656,cutaneous melanoma,EFO_0000389,cancer or benign tumor,51,8
CLPTM1L,ENSG00000049656,Malignant Pancreatic Neoplasm,EFO_1000359,cancer or benign tumor,51,8
HIBADH,ENSG00000106049,Malignant Pancreatic Neoplasm,EFO_1000359,cancer or benign tumor,9,4
ABO,ENSG00000175164,Malignant Pancreatic Neoplasm,EFO_1000359,cancer or benign tumor,105,20
NR5A2,ENSG00000116833,Malignant Pancreatic Neoplasm,EFO_1000359,cancer or benign tumor,12,5
PRDM7,ENSG00000126856,skin carcinoma,EFO_0009259,cancer or benign tumor,5,3
PRDM7,ENSG00000126856,skin neoplasm,EFO_0004198,cancer or benign tumor,5,3
OCA2,ENSG00000104044,skin carcinoma,EFO_0009259,cancer or benign tumor,24,6
OCA2,ENSG00000104044,skin neoplasm,EFO_0004198,cancer or benign tumor,24,6
FANCA,ENSG00000187741,skin carcinoma,EFO_0009259,cancer or benign tumor,12,6
FANCA,ENSG00000187741,skin neoplasm,EFO_0004198,cancer or benign tumor,12,6
BNC2,ENSG00000173068,skin carcinoma,EFO_0009259,cancer or benign tumor,37,10
BNC2,ENSG00000173068,skin neoplasm,EFO_0004198,cancer or benign tumor,37,10
N4BP2L1,ENSG00000139597,skin carcinoma,EFO_0009259,cancer or benign tumor,4,2
N4BP2L1,ENSG00000139597,skin neoplasm,EFO_0004198,cancer or benign tumor,4,2
IRF4,ENSG00000137265,skin carcinoma,EFO_0009259,cancer or benign tumor,62,13
IRF4,ENSG00000137265,skin neoplasm,EFO_0004198,cancer or benign tumor,62,13
SLC45A2,ENSG00000164175,skin carcinoma,EFO_0009259,cancer or benign tumor,26,6
SLC45A2,ENSG00000164175,skin neoplasm,EFO_0004198,cancer or benign tumor,26,6
HORMAD1,ENSG00000143452,skin carcinoma,EFO_0009259,cancer or benign tumor,6,4
HORMAD1,ENSG00000143452,skin neoplasm,EFO_0004198,cancer or benign tumor,6,4
DEF8,ENSG00000140995,skin carcinoma,EFO_0009259,cancer or benign tumor,18,4
DEF8,ENSG00000140995,skin neoplasm,EFO_0004198,cancer or benign tumor,18,4
TYR,ENSG00000077498,skin carcinoma,EFO_0009259,cancer or benign tumor,43,10
TYR,ENSG00000077498,skin neoplasm,EFO_0004198,cancer or benign tumor,43,10
RALY,ENSG00000125970,skin carcinoma,EFO_0009259,cancer or benign tumor,24,7
RALY,ENSG00000125970,skin neoplasm,EFO_0004198,cancer or benign tumor,24,7
PSCA,ENSG00000167653,Gastric Papillary Adenocarcinoma,EFO_1000276,cancer or benign tumor,14,4
MTX1,ENSG00000173171,Gastric Papillary Adenocarcinoma,EFO_1000276,cancer or benign tumor,14,5
EIF3H,ENSG00000147677,colonic neoplasm,EFO_0004288,cancer or benign tumor,24,4
CHRDL2,ENSG00000054938,colonic neoplasm,EFO_0004288,cancer or benign tumor,7,3
FADS1,ENSG00000149485,colonic neoplasm,EFO_0004288,cancer or benign tumor,26,10
FERMT1,ENSG00000101311,colonic neoplasm,EFO_0004288,cancer or benign tumor,19,4
EPS8L3,ENSG00000198758,colonic neoplasm,EFO_0004288,cancer or benign tumor,10,6
CCND2,ENSG00000118971,colonic neoplasm,EFO_0004288,cancer or benign tumor,34,13
HAO1,ENSG00000101323,colonic neoplasm,EFO_0004288,cancer or benign tumor,16,6
LAMA5,ENSG00000130702,colonic neoplasm,EFO_0004288,cancer or benign tumor,21,4
SMAD7,ENSG00000101665,colonic neoplasm,EFO_0004288,cancer or benign tumor,38,7
FUT2,ENSG00000176920,colonic neoplasm,EFO_0004288,cancer or benign tumor,43,15
POU5F1B,ENSG00000212993,colonic neoplasm,EFO_0004288,cancer or benign tumor,54,8
BMP2,ENSG00000125845,colonic neoplasm,EFO_0004288,cancer or benign tumor,29,9
RHPN2,ENSG00000131941,colonic neoplasm,EFO_0004288,cancer or benign tumor,12,3
BMP5,ENSG00000112175,colonic neoplasm,EFO_0004288,cancer or benign tumor,21,4
GREM1,ENSG00000166923,colonic neoplasm,EFO_0004288,cancer or benign tumor,26,6
LAMC1,ENSG00000135862,colonic neoplasm,EFO_0004288,cancer or benign tumor,13,4
BMP4,ENSG00000125378,colonic neoplasm,EFO_0004288,cancer or benign tumor,14,5
CHEK2,ENSG00000183765,colonic neoplasm,EFO_0004288,cancer or benign tumor,60,10
TSHZ3,ENSG00000121297,colonic neoplasm,EFO_0004288,cancer or benign tumor,15,6
PTPN1,ENSG00000196396,colonic neoplasm,EFO_0004288,cancer or benign tumor,12,4
POU2AF3,ENSG00000214290,colonic neoplasm,EFO_0004288,cancer or benign tumor,15,2
INPP4B,ENSG00000109452,colonic neoplasm,EFO_0004288,cancer or benign tumor,5,3
CDKN2B,ENSG00000147883,nervous system benign neoplasm,MONDO_0000648,cancer or benign tumor,148,21
LAMC1,ENSG00000135862,benign neoplasm of rectum,MONDO_0021462,cancer or benign tumor,13,4
BMP5,ENSG00000112175,benign neoplasm of rectum,MONDO_0021462,cancer or benign tumor,21,4
GREM1,ENSG00000166923,benign neoplasm of rectum,MONDO_0021462,cancer or benign tumor,26,6
POU5F1B,ENSG00000212993,benign neoplasm of rectum,MONDO_0021462,cancer or benign tumor,54,8
CHEK2,ENSG00000183765,benign neoplasm of rectum,MONDO_0021462,cancer or benign tumor,60,10
EIF3H,ENSG00000147677,benign neoplasm of rectum,MONDO_0021462,cancer or benign tumor,24,4
SMAD7,ENSG00000101665,benign neoplasm of rectum,MONDO_0021462,cancer or benign tumor,38,7
SMAD7,ENSG00000101665,benign neoplasm of anus,MONDO_0021469,cancer or benign tumor,38,7
POU5F1B,ENSG00000212993,benign neoplasm of anus,MONDO_0021469,cancer or benign tumor,54,8
GREM1,ENSG00000166923,benign neoplasm of anus,MONDO_0021469,cancer or benign tumor,26,6
LAMC1,ENSG00000135862,benign neoplasm of anus,MONDO_0021469,cancer or benign tumor,13,4
LAMA5,ENSG00000130702,benign neoplasm of anus,MONDO_0021469,cancer or benign tumor,21,4
LAMA5,ENSG00000130702,benign neoplasm of rectum,MONDO_0021462,cancer or benign tumor,21,4
BMP5,ENSG00000112175,benign neoplasm of anus,MONDO_0021469,cancer or benign tumor,21,4
CHEK2,ENSG00000183765,benign neoplasm of anus,MONDO_0021469,cancer or benign tumor,60,10
CDKN2B,ENSG00000147883,salivary gland neoplasm,EFO_0003826,gastrointestinal disease,148,21
LAMA5,ENSG00000130702,sigmoid neoplasm,EFO_1001181,cancer or benign tumor,21,4
