Gene symbol,Ensembl target ID,Disease name,Disease ID,Open Targets indirect association score,Maximum absolute rescaled effect size,Minimum MAF,Maximum VEP score,Highest clinical phase,Number of unique associated diseases,Number of unique therapeutic areas,Approved (1 = approved),GWAS genetic support (1 = present)
CD38,ENSG00000004468,autoimmune thrombocytopenic purpura,EFO_0007160,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0,0
CD38,ENSG00000004468,"Anemia, Hemolytic, Autoimmune",EFO_1001264,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0
CD38,ENSG00000004468,amyloidosis,EFO_1001875,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0,0
CD38,ENSG00000004468,Aplastic anemia,HP_0001915,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0
CD38,ENSG00000004468,pure red-cell aplasia,MONDO_0001705,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0,0
CD38,ENSG00000004468,glomerulonephritis,MONDO_0002462,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0,0
CD38,ENSG00000004468,Alzheimer disease,MONDO_0004975,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0,0
CD38,ENSG00000004468,systemic lupus erythematosus,MONDO_0007915,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0,0
CD38,ENSG00000004468,sickle cell anemia,MONDO_0011382,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0,0
CD38,ENSG00000004468,primary membranoproliferative glomerulonephritis,MONDO_0018904,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0,0
CD38,ENSG00000004468,AL amyloidosis,MONDO_0019438,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0,0
NDUFAB1,ENSG00000004779,metabolic syndrome,EFO_0000195,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,atrial fibrillation,EFO_0000275,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,chronic obstructive pulmonary disease,EFO_0000341,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,diabetes mellitus,EFO_0000400,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1,0
NDUFAB1,ENSG00000004779,epilepsy,EFO_0000474,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,hypertension,EFO_0000537,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,infertility,EFO_0000545,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,metabolic disease,EFO_0000589,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,periodontitis,EFO_0000649,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,polycystic ovary syndrome,EFO_0000660,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,preeclampsia,EFO_0000668,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,psoriasis,EFO_0000676,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,rheumatoid arthritis,EFO_0000685,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,severe acute respiratory syndrome,EFO_0000694,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,ulcerative colitis,EFO_0000729,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,HIV infection,EFO_0000764,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,leprosy,EFO_0001054,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,malaria,EFO_0001068,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,obesity,EFO_0001073,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,pulmonary arterial hypertension,EFO_0001361,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,coronary artery disease,EFO_0001645,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,abnormal glucose tolerance,EFO_0002546,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,insulin resistance,EFO_0002614,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,ischemia reperfusion injury,EFO_0002687,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,pregnancy,EFO_0002950,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,non-alcoholic fatty liver disease,EFO_0003095,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,peripheral neuropathy,EFO_0003100,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,heart failure,EFO_0003144,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,inflammatory bowel disease,EFO_0003767,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,intermittent vascular claudication,EFO_0003876,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,chronic kidney disease,EFO_0003884,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,acne,EFO_0003894,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,atherosclerosis,EFO_0003914,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0
