Input	Input Type	MGI Gene/Marker ID	Symbol	Name	Feature Type	Ensembl ID
MGI:3036269	MGI	MGI:3036269	Trim55	tripartite motif-containing 55	protein coding gene	ENSMUSG00000060913
MGI:1929092	MGI	MGI:1929092	Rbm14	RNA binding motif protein 14	protein coding gene	ENSMUSG00000006456
MGI:1919119	MGI	MGI:1919119	Serpinb12	serine (or cysteine) peptidase inhibitor, clade B (ovalbumin), member 12	protein coding gene	ENSMUSG00000059956
MGI:1914868	MGI	MGI:1914868	Aasdhppt	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	protein coding gene	ENSMUSG00000025894
MGI:1351597	MGI	MGI:1351597	Atp5mg	ATP synthase membrane subunit g	protein coding gene	ENSMUSG00000038717
MGI:2146836	MGI	MGI:2146836	Brpf3	bromodomain and PHD finger containing, 3	protein coding gene	ENSMUSG00000063952
MGI:2443376	MGI	MGI:2443376	Pcdh20	protocadherin 20	protein coding gene	ENSMUSG00000050505
MGI:1330281	MGI	MGI:1330281	Cd2ap	CD2-associated protein	protein coding gene	ENSMUSG00000061665
MGI:1919847	MGI	MGI:1919847	Auts2	autism susceptibility candidate 2	protein coding gene	ENSMUSG00000029673
MGI:99833	MGI	MGI:99833	Rab23	RAB23, member RAS oncogene family	protein coding gene	ENSMUSG00000004768
MGI:1920423	MGI	MGI:1920423	Pcdh18	protocadherin 18	protein coding gene	ENSMUSG00000037892
MGI:1914393	MGI	MGI:1914393	Ikzf5	IKAROS family zinc finger 5	protein coding gene	ENSMUSG00000040167
MGI:2444609	MGI	MGI:2444609	Nlgn3	neuroligin 3	protein coding gene	ENSMUSG00000031302
MGI:2671987	MGI	MGI:2671987	Shank2	SH3 and multiple ankyrin repeat domains 2	protein coding gene	ENSMUSG00000037541
MGI:1929655	MGI	MGI:1929655	Cript	cysteine-rich PDZ-binding protein	protein coding gene	ENSMUSG00000024146
MGI:1098597	MGI	MGI:1098597	Ift81	intraflagellar transport 81	protein coding gene	ENSMUSG00000029469
MGI:1916419	MGI	MGI:1916419	Fcmr	Fc fragment of IgM receptor	protein coding gene	ENSMUSG00000042474
MGI:1916433	MGI	MGI:1916433	C1qtnf2	C1q and tumor necrosis factor related protein 2	protein coding gene	ENSMUSG00000046491
MGI:1932515	MGI	MGI:1932515	Plekha3	pleckstrin homology domain-containing, family A (phosphoinositide binding specific) member 3	protein coding gene	ENSMUSG00000002733
MGI:1925911	MGI	MGI:1925911	C1qtnf7	C1q and tumor necrosis factor related protein 7	protein coding gene	ENSMUSG00000061535
MGI:2385958	MGI	MGI:2385958	C1qtnf5	C1q and tumor necrosis factor related protein 5	protein coding gene	ENSMUSG00000079592
MGI:1928676	MGI	MGI:1928676	Htra2	HtrA serine peptidase 2	protein coding gene	ENSMUSG00000068329
MGI:1918110	MGI	MGI:1918110	Septin10	septin 10	protein coding gene	ENSMUSG00000019917
MGI:1197515	MGI	MGI:1197515	Irx1	Iroquois homeobox 1	protein coding gene	ENSMUSG00000060969
MGI:1197522	MGI	MGI:1197522	Irx3	Iroquois related homeobox 3	protein coding gene	ENSMUSG00000031734
MGI:97746	MGI	MGI:97746	Endou	endonuclease, polyU-specific	protein coding gene	ENSMUSG00000022468
MGI:1098547	MGI	MGI:1098547	Nhp2	NHP2 ribonucleoprotein	protein coding gene	ENSMUSG00000001056
MGI:1913431	MGI	MGI:1913431	Nop10	NOP10 ribonucleoprotein	protein coding gene	ENSMUSG00000027133
MGI:2151254	MGI	MGI:2151254	Calcb	calcitonin-related polypeptide, beta	protein coding gene	ENSMUSG00000030666
MGI:1913588	MGI	MGI:1913588	Cdrt4	CMT1A duplicated region transcript 4	protein coding gene	ENSMUSG00000042200
MGI:1889810	MGI	MGI:1889810	Gp6	glycoprotein 6 platelet	protein coding gene	ENSMUSG00000078810
MGI:1918537	MGI	MGI:1918537	Cpvl	carboxypeptidase, vitellogenic-like	protein coding gene	ENSMUSG00000052955
MGI:101950	MGI	MGI:101950	Calcr	calcitonin receptor	protein coding gene	ENSMUSG00000023964
MGI:1314872	MGI	MGI:1314872	Hipk2	homeodomain interacting protein kinase 2	protein coding gene	ENSMUSG00000061436
MGI:1098265	MGI	MGI:1098265	Kif13b	kinesin family member 13B	protein coding gene	ENSMUSG00000060012
MGI:2144837	MGI	MGI:2144837	Ptpn23	protein tyrosine phosphatase, non-receptor type 23	protein coding gene	ENSMUSG00000036057
MGI:2445059	MGI	MGI:2445059	Slc25a21	solute carrier family 25 (mitochondrial oxodicarboxylate carrier), member 21	protein coding gene	ENSMUSG00000035472
MGI:1917758	MGI	MGI:1917758	Bbx	bobby sox HMG box containing	protein coding gene	ENSMUSG00000022641
MGI:1929706	MGI	MGI:1929706	Ranbp17	RAN binding protein 17	protein coding gene	ENSMUSG00000040594
MGI:2149635	MGI	MGI:2149635	Slc13a3	solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 3	protein coding gene	ENSMUSG00000018459
MGI:3583944	MGI	MGI:3583944	Cdk15	cyclin dependent kinase 15	protein coding gene	ENSMUSG00000026023
MGI:2182269	MGI	MGI:2182269	Carf	calcium response factor	protein coding gene	ENSMUSG00000026017
MGI:1924550	MGI	MGI:1924550	Raph1	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1	protein coding gene	ENSMUSG00000026014
MGI:1917625	MGI	MGI:1917625	Ica1l	islet cell autoantigen 1-like	protein coding gene	ENSMUSG00000026018
MGI:1919301	MGI	MGI:1919301	Pard3b	par-3 family cell polarity regulator beta	protein coding gene	ENSMUSG00000052062
MGI:1891341	MGI	MGI:1891341	Lpin2	lipin 2	protein coding gene	ENSMUSG00000024052
MGI:1891342	MGI	MGI:1891342	Lpin3	lipin 3	protein coding gene	ENSMUSG00000027412
MGI:1352499	MGI	MGI:1352499	Ndrg3	N-myc downstream regulated gene 3	protein coding gene	ENSMUSG00000027634
MGI:2384590	MGI	MGI:2384590	Ndrg4	N-myc downstream regulated gene 4	protein coding gene	ENSMUSG00000036564
MGI:2143920	MGI	MGI:2143920	Slc26a10	solute carrier family 26, member 10	protein coding gene	ENSMUSG00000040441
MGI:1914931	MGI	MGI:1914931	Mrpl18	mitochondrial ribosomal protein L18	protein coding gene	ENSMUSG00000057388
MGI:1333794	MGI	MGI:1333794	Mrpl22	mitochondrial ribosomal protein L22	protein coding gene	ENSMUSG00000020514
MGI:2137225	MGI	MGI:2137225	Mrpl33	mitochondrial ribosomal protein L33	protein coding gene	ENSMUSG00000106918
MGI:1924971	MGI	MGI:1924971	Mrps5	mitochondrial ribosomal protein S5	protein coding gene	ENSMUSG00000027374
MGI:104589	MGI	MGI:104589	Actg2	actin, gamma 2, smooth muscle, enteric	protein coding gene	ENSMUSG00000059430
MGI:1928137	MGI	MGI:1928137	Mrps22	mitochondrial ribosomal protein S22	protein coding gene	ENSMUSG00000032459
MGI:1928140	MGI	MGI:1928140	Mrps25	mitochondrial ribosomal protein S25	protein coding gene	ENSMUSG00000014551
MGI:1927715	MGI	MGI:1927715	Sp5	trans-acting transcription factor 5	protein coding gene	ENSMUSG00000075304
MGI:1915213	MGI	MGI:1915213	Npc2	NPC intracellular cholesterol transporter 2	protein coding gene	ENSMUSG00000021242
MGI:1096361	MGI	MGI:1096361	Jpt1	Jupiter microtubule associated homolog 1	protein coding gene	ENSMUSG00000020737
MGI:103263	MGI	MGI:103263	Mcf2l	mcf.2 transforming sequence-like	protein coding gene	ENSMUSG00000031442
MGI:2441869	MGI	MGI:2441869	Arhgef11	Rho guanine nucleotide exchange factor 11	protein coding gene	ENSMUSG00000041977
MGI:1916193	MGI	MGI:1916193	Pink1	PTEN induced putative kinase 1	protein coding gene	ENSMUSG00000028756
MGI:2441659	MGI	MGI:2441659	Lamp3	lysosomal-associated membrane protein 3	protein coding gene	ENSMUSG00000041247
MGI:1918982	MGI	MGI:1918982	Vps11	VPS11, CORVET/HOPS core subunit	protein coding gene	ENSMUSG00000032127
MGI:1098535	MGI	MGI:1098535	Camk1	calcium/calmodulin-dependent protein kinase I	protein coding gene	ENSMUSG00000030272
MGI:1929866	MGI	MGI:1929866	Rgs20	regulator of G-protein signaling 20	protein coding gene	ENSMUSG00000002459
MGI:88257	MGI	MGI:88257	Camk2b	calcium/calmodulin-dependent protein kinase II, beta	protein coding gene	ENSMUSG00000057897
MGI:1915099	MGI	MGI:1915099	Cdca5	cell division cycle associated 5	protein coding gene	ENSMUSG00000024791
MGI:3028499	MGI	MGI:3028499	Adamtsl3	ADAMTS-like 3	protein coding gene	ENSMUSG00000070469
MGI:2388707	MGI	MGI:2388707	Abca13	ATP-binding cassette, sub-family A member 13	protein coding gene	ENSMUSG00000004668
MGI:1922928	MGI	MGI:1922928	Ippk	inositol 1,3,4,5,6-pentakisphosphate 2-kinase	protein coding gene	ENSMUSG00000021385
MGI:1932288	MGI	MGI:1932288	Egln3	egl-9 family hypoxia-inducible factor 3	protein coding gene	ENSMUSG00000035105
MGI:1890215	MGI	MGI:1890215	Rnf25	ring finger protein 25	protein coding gene	ENSMUSG00000026171
MGI:2182926	MGI	MGI:2182926	Rxfp4	relaxin family peptide receptor 4	protein coding gene	ENSMUSG00000049741
MGI:1924748	MGI	MGI:1924748	Actr5	ARP5 actin-related protein 5	protein coding gene	ENSMUSG00000037761
MGI:1860775	MGI	MGI:1860775	Actr8	ARP8 actin-related protein 8	protein coding gene	ENSMUSG00000015971
MGI:1891428	MGI	MGI:1891428	Pcdh15	protocadherin 15	protein coding gene	ENSMUSG00000052613
MGI:1921499	MGI	MGI:1921499	Lrrc2	leucine rich repeat containing 2	protein coding gene	ENSMUSG00000032495
MGI:2146885	MGI	MGI:2146885	Spata2	spermatogenesis associated 2	protein coding gene	ENSMUSG00000047030
MGI:1933820	MGI	MGI:1933820	Jam2	junction adhesion molecule 2	protein coding gene	ENSMUSG00000053062
MGI:1352490	MGI	MGI:1352490	Capn11	calpain 11	protein coding gene	ENSMUSG00000058626
MGI:2181366	MGI	MGI:2181366	Capn8	calpain 8	protein coding gene	ENSMUSG00000038599
MGI:98904	MGI	MGI:98904	Uck1	uridine-cytidine kinase 1	protein coding gene	ENSMUSG00000002550
MGI:1931139	MGI	MGI:1931139	Ppp1r14a	protein phosphatase 1, regulatory inhibitor subunit 14A	protein coding gene	ENSMUSG00000037166
MGI:1913945	MGI	MGI:1913945	Aspn	asporin	protein coding gene	ENSMUSG00000021388
MGI:1922896	MGI	MGI:1922896	Rai14	retinoic acid induced 14	protein coding gene	ENSMUSG00000022246
MGI:1917609	MGI	MGI:1917609	Gtpbp3	GTP binding protein 3	protein coding gene	ENSMUSG00000007610
MGI:1931882	MGI	MGI:1931882	Dnaja2	DnaJ heat shock protein family (Hsp40) member A2	protein coding gene	ENSMUSG00000031701
MGI:1927638	MGI	MGI:1927638	Dnaja4	DnaJ heat shock protein family (Hsp40) member A4	protein coding gene	ENSMUSG00000032285
MGI:1915088	MGI	MGI:1915088	Dnajb11	DnaJ heat shock protein family (Hsp40) member B11	protein coding gene	ENSMUSG00000004460
MGI:1931881	MGI	MGI:1931881	Dnajb12	DnaJ heat shock protein family (Hsp40) member B12	protein coding gene	ENSMUSG00000020109
MGI:2179942	MGI	MGI:2179942	Adamts14	ADAM metallopeptidase with thrombospondin type 1 motif 14	protein coding gene	ENSMUSG00000059901
MGI:106222	MGI	MGI:106222	Capza2	capping actin protein of muscle Z-line subunit alpha 2	protein coding gene	ENSMUSG00000015733
MGI:107283	MGI	MGI:107283	Rab6b	RAB6B, member RAS oncogene family	protein coding gene	ENSMUSG00000032549
MGI:105108	MGI	MGI:105108	Nin	ninein	protein coding gene	ENSMUSG00000021068
MGI:2681253	MGI	MGI:2681253	Tas2r119	taste receptor, type 2, member 119	protein coding gene	ENSMUSG00000045267
MGI:104652	MGI	MGI:104652	Capzb	capping actin protein of muscle Z-line subunit beta	protein coding gene	ENSMUSG00000028745
MGI:1931322	MGI	MGI:1931322	Car13	carbonic anhydrase 13	protein coding gene	ENSMUSG00000027555
MGI:2135607	MGI	MGI:2135607	Sirt1	sirtuin 1	protein coding gene	ENSMUSG00000020063
MGI:1927665	MGI	MGI:1927665	Sirt3	sirtuin 3	protein coding gene	ENSMUSG00000025486
MGI:1922637	MGI	MGI:1922637	Sirt4	sirtuin 4	protein coding gene	ENSMUSG00000029524
MGI:1915596	MGI	MGI:1915596	Sirt5	sirtuin 5	protein coding gene	ENSMUSG00000054021
MGI:1931751	MGI	MGI:1931751	Pum2	pumilio RNA-binding family member 2	protein coding gene	ENSMUSG00000020594
MGI:2447899	MGI	MGI:2447899	Lrrc3	leucine rich repeat containing 3	protein coding gene	ENSMUSG00000051652
MGI:1916925	MGI	MGI:1916925	Pxdn	peroxidasin	protein coding gene	ENSMUSG00000020674
MGI:1916428	MGI	MGI:1916428	Snx5	sorting nexin 5	protein coding gene	ENSMUSG00000027423
MGI:2443816	MGI	MGI:2443816	Snx8	sorting nexin 8	protein coding gene	ENSMUSG00000029560
MGI:1919232	MGI	MGI:1919232	Snx10	sorting nexin 10	protein coding gene	ENSMUSG00000038301
MGI:1916274	MGI	MGI:1916274	Snx15	sorting nexin 15	protein coding gene	ENSMUSG00000024787
MGI:107700	MGI	MGI:107700	Casp4	caspase 4, apoptosis-related cysteine peptidase	protein coding gene	ENSMUSG00000033538
MGI:1309468	MGI	MGI:1309468	Casq1	calsequestrin 1	protein coding gene	ENSMUSG00000007122
MGI:1309469	MGI	MGI:1309469	Casq2	calsequestrin 2	protein coding gene	ENSMUSG00000027861
MGI:1351351	MGI	MGI:1351351	Casr	calcium-sensing receptor	protein coding gene	ENSMUSG00000051980
MGI:1098236	MGI	MGI:1098236	Cast	calpastatin	protein coding gene	ENSMUSG00000021585
MGI:2384909	MGI	MGI:2384909	Micu1	mitochondrial calcium uptake 1	protein coding gene	ENSMUSG00000020111
MGI:88279	MGI	MGI:88279	Cbl	Casitas B-lineage lymphoma	protein coding gene	ENSMUSG00000034342
MGI:1916238	MGI	MGI:1916238	Prpf31	pre-mRNA processing factor 31	protein coding gene	ENSMUSG00000008373
MGI:1913879	MGI	MGI:1913879	Golph3	golgi phosphoprotein 3	protein coding gene	ENSMUSG00000022200
MGI:2181074	MGI	MGI:2181074	Acbd3	acyl-Coenzyme A binding domain containing 3	protein coding gene	ENSMUSG00000026499
MGI:1338890	MGI	MGI:1338890	Cacna2d3	calcium channel, voltage-dependent, alpha2/delta subunit 3	protein coding gene	ENSMUSG00000021991
MGI:1915116	MGI	MGI:1915116	Wfdc1	WAP four-disulfide core domain 1	protein coding gene	ENSMUSG00000023336
MGI:1922715	MGI	MGI:1922715	Dynlrb2	dynein light chain roadblock-type 2	protein coding gene	ENSMUSG00000034467
MGI:1914318	MGI	MGI:1914318	Dynlrb1	dynein light chain roadblock-type 1	protein coding gene	ENSMUSG00000047459
MGI:1915848	MGI	MGI:1915848	Dnajc8	DnaJ heat shock protein family (Hsp40) member C8	protein coding gene	ENSMUSG00000054405
MGI:2450123	MGI	MGI:2450123	Prss27	serine protease 27	protein coding gene	ENSMUSG00000050762
MGI:1861457	MGI	MGI:1861457	Dynll1	dynein light chain LC8-type 1	protein coding gene	ENSMUSG00000009013
MGI:2653822	MGI	MGI:2653822	Adam32	a disintegrin and metallopeptidase domain 32	protein coding gene	ENSMUSG00000037437
MGI:1927222	MGI	MGI:1927222	Diaph3	diaphanous related formin 3	protein coding gene	ENSMUSG00000022021
MGI:1916649	MGI	MGI:1916649	1700025G04Rik	RIKEN cDNA 1700025G04 gene	protein coding gene	ENSMUSG00000032666
MGI:1924832	MGI	MGI:1924832	Mboat7	membrane bound O-acyltransferase domain containing 7	protein coding gene	ENSMUSG00000035596
MGI:105369	MGI	MGI:105369	Cbx1	chromobox 1	protein coding gene	ENSMUSG00000018666
MGI:2159344	MGI	MGI:2159344	Vangl1	VANGL planar cell polarity 1	protein coding gene	ENSMUSG00000027860
MGI:1916976	MGI	MGI:1916976	Smyd3	SET and MYND domain containing 3	protein coding gene	ENSMUSG00000055067
MGI:1914915	MGI	MGI:1914915	Dctn4	dynactin 4	protein coding gene	ENSMUSG00000024603
MGI:88289	MGI	MGI:88289	Cbx2	chromobox 2	protein coding gene	ENSMUSG00000025577
MGI:1914418	MGI	MGI:1914418	Lpar6	lysophosphatidic acid receptor 6	protein coding gene	ENSMUSG00000033446
MGI:1929258	MGI	MGI:1929258	Kcnip3	Kv channel interacting protein 3, calsenilin	protein coding gene	ENSMUSG00000079056
MGI:1916368	MGI	MGI:1916368	Cgrrf1	cell growth regulator with ring finger domain 1	protein coding gene	ENSMUSG00000055128
MGI:1933825	MGI	MGI:1933825	Jam3	junction adhesion molecule 3	protein coding gene	ENSMUSG00000031990
MGI:1195985	MGI	MGI:1195985	Cbx4	chromobox 4	protein coding gene	ENSMUSG00000039989
MGI:2137512	MGI	MGI:2137512	Arid4b	AT-rich interaction domain 4B	protein coding gene	ENSMUSG00000039219
MGI:3512628	MGI	MGI:3512628	Cbx6	chromobox 6	protein coding gene	ENSMUSG00000089715
MGI:2677633	MGI	MGI:2677633	Qrfpr	pyroglutamylated RFamide peptide receptor	protein coding gene	ENSMUSG00000058400
MGI:1933199	MGI	MGI:1933199	Setbp1	SET binding protein 1	protein coding gene	ENSMUSG00000024548
MGI:2448580	MGI	MGI:2448580	Myo3b	myosin IIIB	protein coding gene	ENSMUSG00000042064
MGI:1933302	MGI	MGI:1933302	Trim8	tripartite motif-containing 8	protein coding gene	ENSMUSG00000025034
MGI:1891434	MGI	MGI:1891434	Pde4dip	phosphodiesterase 4D interacting protein (myomegalin)	protein coding gene	ENSMUSG00000038170
MGI:1933365	MGI	MGI:1933365	Sytl1	synaptotagmin-like 1	protein coding gene	ENSMUSG00000028860
MGI:3045246	MGI	MGI:3045246	Arhgef15	Rho guanine nucleotide exchange factor 15	protein coding gene	ENSMUSG00000052921
MGI:1931520	MGI	MGI:1931520	Dbr1	debranching RNA lariats 1	protein coding gene	ENSMUSG00000032469
MGI:1919115	MGI	MGI:1919115	Fbxo30	F-box protein 30	protein coding gene	ENSMUSG00000047648
MGI:1860493	MGI	MGI:1860493	Arhgef7	Rho guanine nucleotide exchange factor	protein coding gene	ENSMUSG00000031511
MGI:1918019	MGI	MGI:1918019	Nolc1	nucleolar and coiled-body phosphoprotein 1	protein coding gene	ENSMUSG00000015176
MGI:1918419	MGI	MGI:1918419	Nbas	neuroblastoma amplified sequence	protein coding gene	ENSMUSG00000020576
MGI:1926421	MGI	MGI:1926421	Tcerg1	transcription elongation regulator 1 (CA150)	protein coding gene	ENSMUSG00000024498
MGI:1917516	MGI	MGI:1917516	Kyat1	kynurenine aminotransferase 1	protein coding gene	ENSMUSG00000039648
MGI:1924753	MGI	MGI:1924753	Alg9	ALG9 alpha-1,2-mannosyltransferase	protein coding gene	ENSMUSG00000032059
MGI:1932404	MGI	MGI:1932404	Phip	pleckstrin homology domain interacting protein	protein coding gene	ENSMUSG00000032253
MGI:1921743	MGI	MGI:1921743	Tnks2	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase 2	protein coding gene	ENSMUSG00000024811
MGI:1353467	MGI	MGI:1353467	Cttnbp2	cortactin binding protein 2	protein coding gene	ENSMUSG00000000416
MGI:1919680	MGI	MGI:1919680	B4gat1	beta-1,4-glucuronyltransferase 1	protein coding gene	ENSMUSG00000047379
MGI:88297	MGI	MGI:88297	Cck	cholecystokinin	protein coding gene	ENSMUSG00000032532
MGI:1344412	MGI	MGI:1344412	Ldb3	LIM domain binding 3	protein coding gene	ENSMUSG00000021798
MGI:1919666	MGI	MGI:1919666	Lrpprc	leucine-rich PPR-motif containing	protein coding gene	ENSMUSG00000024120
MGI:2151064	MGI	MGI:2151064	Strn3	striatin, calmodulin binding protein 3	protein coding gene	ENSMUSG00000020954
MGI:1930618	MGI	MGI:1930618	Krit1	KRIT1, ankyrin repeat containing	protein coding gene	ENSMUSG00000000600
MGI:1919041	MGI	MGI:1919041	Cpa4	carboxypeptidase A4	protein coding gene	ENSMUSG00000039070
MGI:1349816	MGI	MGI:1349816	Ermap	erythroblast membrane-associated protein	protein coding gene	ENSMUSG00000028644
MGI:1929270	MGI	MGI:1929270	Dstn	destrin	protein coding gene	ENSMUSG00000015932
MGI:1924086	MGI	MGI:1924086	Polr3f	polymerase (RNA) III (DNA directed) polypeptide F	protein coding gene	ENSMUSG00000027427
MGI:1915299	MGI	MGI:1915299	Tgif2	TGFB-induced factor homeobox 2	protein coding gene	ENSMUSG00000062175
MGI:2444300	MGI	MGI:2444300	Arhgap11a	Rho GTPase activating protein 11A	protein coding gene	ENSMUSG00000041219
MGI:88302	MGI	MGI:88302	Ccnb1	cyclin B1	protein coding gene	ENSMUSG00000041431
MGI:3039607	MGI	MGI:3039607	Pigu	phosphatidylinositol glycan anchor biosynthesis, class U	protein coding gene	ENSMUSG00000038383
MGI:1922908	MGI	MGI:1922908	Pabpc1l	poly(A) binding protein, cytoplasmic 1-like	protein coding gene	ENSMUSG00000054582
MGI:109497	MGI	MGI:109497	Gata5	GATA binding protein 5	protein coding gene	ENSMUSG00000015627
MGI:2388656	MGI	MGI:2388656	Zfp334	zinc finger protein 334	protein coding gene	ENSMUSG00000017667
MGI:1916334	MGI	MGI:1916334	Slx9	SLX9 ribosome biogenesis factor	protein coding gene	ENSMUSG00000032977
MGI:2145374	MGI	MGI:2145374	Dhx29	DExH-box helicase 29	protein coding gene	ENSMUSG00000042426
MGI:1097717	MGI	MGI:1097717	Ankrd1	ankyrin repeat domain 1	protein coding gene	ENSMUSG00000024803
MGI:2179326	MGI	MGI:2179326	Oxr1	oxidation resistance 1	protein coding gene	ENSMUSG00000022307
MGI:1270848	MGI	MGI:1270848	Rasd1	RAS, dexamethasone-induced 1	protein coding gene	ENSMUSG00000049892
MGI:2156528	MGI	MGI:2156528	Elovl6	ELOVL fatty acid elongase 6	protein coding gene	ENSMUSG00000041220
MGI:88314	MGI	MGI:88314	Ccnd2	cyclin D2	protein coding gene	ENSMUSG00000000184
MGI:1914220	MGI	MGI:1914220	Ssbp2	single-stranded DNA binding protein 2	protein coding gene	ENSMUSG00000003992
MGI:1298392	MGI	MGI:1298392	Bscl2	BSCL2 lipid droplet biogenesis associated, seipin	protein coding gene	ENSMUSG00000071657
MGI:2385884	MGI	MGI:2385884	Ddx27	DEAD box helicase 27	protein coding gene	ENSMUSG00000017999
MGI:1888939	MGI	MGI:1888939	Septin6	septin 6	protein coding gene	ENSMUSG00000050379
MGI:2139080	MGI	MGI:2139080	Dzank1	double zinc ribbon and ankyrin repeat domains 1	protein coding gene	ENSMUSG00000037259
MGI:1922946	MGI	MGI:1922946	Prpf6	pre-mRNA splicing factor 6	protein coding gene	ENSMUSG00000002455
MGI:1918965	MGI	MGI:1918965	Dhx35	DEAH-box helicase 35	protein coding gene	ENSMUSG00000027655
MGI:1926024	MGI	MGI:1926024	Cfap61	cilia and flagella associated protein 61	protein coding gene	ENSMUSG00000037143
MGI:1914576	MGI	MGI:1914576	Adissp	adipose secreted signaling protein	protein coding gene	ENSMUSG00000027327
MGI:3513546	MGI	MGI:3513546	Spef1	sperm flagellar 1	protein coding gene	ENSMUSG00000027329
MGI:2444482	MGI	MGI:2444482	Cass4	Cas scaffolding protein family member 4	protein coding gene	ENSMUSG00000074570
MGI:106562	MGI	MGI:106562	Dbndd2	dysbindin domain containing 2	protein coding gene	ENSMUSG00000017734
MGI:3040677	MGI	MGI:3040677	Lsm14b	LSM family member 14B	protein coding gene	ENSMUSG00000039108
MGI:3045368	MGI	MGI:3045368	Defb22	defensin beta 22	protein coding gene	ENSMUSG00000027468
MGI:2685856	MGI	MGI:2685856	Cdh26	cadherin-like 26	protein coding gene	ENSMUSG00000039155
MGI:1917264	MGI	MGI:1917264	Kat14	lysine acetyltransferase 14	protein coding gene	ENSMUSG00000027425
MGI:3710243	MGI	MGI:3710243	Myh7b	myosin, heavy chain 7B, cardiac muscle, beta	protein coding gene	ENSMUSG00000074652
MGI:2385165	MGI	MGI:2385165	Ncoa5	nuclear receptor coactivator 5	protein coding gene	ENSMUSG00000039804
MGI:97850	MGI	MGI:97850	Raly	hnRNP-associated with lethal yellow	protein coding gene	ENSMUSG00000027593
MGI:1095734	MGI	MGI:1095734	Ccng2	cyclin G2	protein coding gene	ENSMUSG00000029385
MGI:2139270	MGI	MGI:2139270	Snph	syntaphilin	protein coding gene	ENSMUSG00000027457
MGI:2444772	MGI	MGI:2444772	Zhx3	zinc fingers and homeoboxes 3	protein coding gene	ENSMUSG00000035877
MGI:1929915	MGI	MGI:1929915	Ncoa6	nuclear receptor coactivator 6	protein coding gene	ENSMUSG00000038369
MGI:1915862	MGI	MGI:1915862	Ube2c	ubiquitin-conjugating enzyme E2C	protein coding gene	ENSMUSG00000001403
MGI:1914951	MGI	MGI:1914951	Wfdc2	WAP four-disulfide core domain 2	protein coding gene	ENSMUSG00000017723
MGI:1918366	MGI	MGI:1918366	Stx18	syntaxin 18	protein coding gene	ENSMUSG00000029125
MGI:1927223	MGI	MGI:1927223	Pard6a	par-6 family cell polarity regulator alpha	protein coding gene	ENSMUSG00000005699
MGI:2449939	MGI	MGI:2449939	Zgpat	zinc finger, CCCH-type with G patch domain	protein coding gene	ENSMUSG00000027582
MGI:1915526	MGI	MGI:1915526	Toe1	target of EGR1, member 1 (nuclear)	protein coding gene	ENSMUSG00000028688
MGI:2675345	MGI	MGI:2675345	Defb14	defensin beta 14	protein coding gene	ENSMUSG00000046354
MGI:1338002	MGI	MGI:1338002	Gdap1	ganglioside-induced differentiation-associated-protein 1	protein coding gene	ENSMUSG00000025777
MGI:1932115	MGI	MGI:1932115	Papolb	poly (A) polymerase beta (testis specific)	protein coding gene	ENSMUSG00000074817
MGI:106581	MGI	MGI:106581	Tsg101	tumor susceptibility gene 101	protein coding gene	ENSMUSG00000014402
MGI:1921448	MGI	MGI:1921448	Dtx2	deltex 2, E3 ubiquitin ligase	protein coding gene	ENSMUSG00000004947
MGI:1913658	MGI	MGI:1913658	Aptx	aprataxin	protein coding gene	ENSMUSG00000028411
MGI:1928849	MGI	MGI:1928849	Svep1	sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1	protein coding gene	ENSMUSG00000028369
MGI:1353653	MGI	MGI:1353653	Glrx3	glutaredoxin 3	protein coding gene	ENSMUSG00000031068
MGI:2682937	MGI	MGI:2682937	Zfp341	zinc finger protein 341	protein coding gene	ENSMUSG00000059842
MGI:1916197	MGI	MGI:1916197	Chst8	carbohydrate sulfotransferase 8	protein coding gene	ENSMUSG00000060402
MGI:2183691	MGI	MGI:2183691	Nav2	neuron navigator 2	protein coding gene	ENSMUSG00000052512
MGI:2151208	MGI	MGI:2151208	Selenon	selenoprotein N	protein coding gene	ENSMUSG00000050989
MGI:1920199	MGI	MGI:1920199	Ccnt2	cyclin T2	protein coding gene	ENSMUSG00000026349
MGI:1913558	MGI	MGI:1913558	Mplkip	M-phase specific PLK1 intereacting protein	protein coding gene	ENSMUSG00000012429
MGI:1929743	MGI	MGI:1929743	Asb2	ankyrin repeat and SOCS box-containing 2	protein coding gene	ENSMUSG00000021200
MGI:2443963	MGI	MGI:2443963	Cadps2	Ca2+-dependent activator protein for secretion 2	protein coding gene	ENSMUSG00000017978
MGI:1924375	MGI	MGI:1924375	Il33	interleukin 33	protein coding gene	ENSMUSG00000024810
MGI:1934704	MGI	MGI:1934704	Rnf31	ring finger protein 31	protein coding gene	ENSMUSG00000047098
MGI:1888999	MGI	MGI:1888999	Angptl4	angiopoietin-like 4	protein coding gene	ENSMUSG00000002289
MGI:1891716	MGI	MGI:1891716	Emcn	endomucin	protein coding gene	ENSMUSG00000054690
MGI:2135608	MGI	MGI:2135608	Pard3	par-3 family cell polarity regulator	protein coding gene	ENSMUSG00000025812
