maxMAF_bin,observed_mean,observed_sem,predicted_full_mean,predicted_full_sem,predicted_no_power_mean,predicted_no_power_sem
0-0.01,1.8931451612903225,0.12804353877953012,2.3544360919914378,0.07764417760527405,3.1359651918885425,0.10817408051352571
0.01-0.05,1.7752951096121417,0.06079017960750464,1.8545620868306385,0.026586706695653068,1.9437061813278411,0.0266068347018901
0.05-0.1,1.9132762312633833,0.07109520638958233,1.8403973945502614,0.028902114195562465,1.7581501125288015,0.017112601965568786
0.1-0.2,1.9266081042788326,0.04950617731946622,1.9019030727403539,0.020259691084344254,1.79945059568886,0.010166585748171518
0.2-0.3,2.1608118657298987,0.0591664056320427,2.0663528944306604,0.021424761378081907,2.0138599265421204,0.010103674467592295
0.3-0.4,2.26247737264029,0.05485835890368878,2.255533169769595,0.023113580416754948,2.276735372716296,0.010156758546888849
0.4-0.5,2.543911439114391,0.0865561208217328,2.507904330766174,0.025048323893040778,2.5861141502979916,0.010099045739168888
