studyId,diseaseIds,diseaseNames,mappedTherapeuticAreas,therapeuticAreaNames,estimatedBeta,pValueMantissa,pValueExponent,neg_log10_p
GCST90480731,['MONDO_0004975'],['Alzheimer disease'],['EFO_0000618'],nervous system disease,0.9899354319983619,1.0,-323,323.0
GCST90480732,['MONDO_0017276'],['frontotemporal dementia'],['EFO_0000618'],nervous system disease,0.5516603017784064,8.0,-37,36.09690999984741
GCST90480733,['EFO_0004718'],['vascular dementia'],['EFO_0000319'],cardiovascular disease,0.5645463842011946,8.0,-118,117.09690999984741
GCST90480735,['EFO_0009267'],['delirium'],['EFO_0000618'],nervous system disease,0.22806141426302523,8.0,-24,23.096909999847412
GCST90480736,['EFO_0000677'],['mental or behavioural disorder'],['EFO_0000618'],nervous system disease,0.19882805933699582,4.0,-56,55.39793998003006
GCST90480737,['MONDO_0002039'],['cognitive disorder'],['EFO_0000618'],nervous system disease,0.3563364444078069,1.0,-300,300.0
GCST90480742,['HP_0100543'],['Cognitive impairment'],['other'],other,0.31206691255797975,2.0,-131,130.69896999001503
GCST90480743,['EFO_1001454'],['amnesia'],['EFO_0000618'],nervous system disease,0.2579840552899991,4.0,-73,72.39793998003006
GCST90480744,['EFO_0000677'],['mental or behavioural disorder'],['EFO_0000618'],nervous system disease,0.18099051698677718,3.0,-37,36.52287873625755
GCST90480747,['EFO_0000618'],['nervous system disease'],['other'],other,0.19282743326432514,3.0,-148,147.52287873625755
GCST90566795,['MONDO_0005178'],['osteoarthritis'],['OTAR_0000006'],musculoskeletal or connective tissue disease,-0.03151864191404152,4.1703973,-22,21.379822552204132
GCST90566798,['EFO_1000786'],"['osteoarthritis, hip']",['OTAR_0000006'],musculoskeletal or connective tissue disease,-0.05216385429668683,3.3571875,-15,14.474024415016174
GCST90566799,"['EFO_1000786', 'EFO_0004616']","['osteoarthritis, hip', 'osteoarthritis, knee']",['OTAR_0000006'],musculoskeletal or connective tissue disease,-0.04809017347451764,8.857664,-25,24.052680790424347
GCST90566800,['EFO_0004616'],"['osteoarthritis, knee']",['OTAR_0000006'],musculoskeletal or connective tissue disease,-0.04889104341580387,1.0752108,-21,20.96850637719035
