studyId,diseaseIds,diseaseNames,mappedTherapeuticAreas,therapeuticAreaNames,estimatedBeta,pValueMantissa,pValueExponent,neg_log10_p
FINNGEN_R12_I9_CORATHER,['MONDO_0021661'],['coronary atherosclerosis'],['EFO_0000319'],cardiovascular disease,0.05808261652046129,3.38,-14,13.471083283424377
FINNGEN_R12_I9_CVD_HARD,['EFO_0000319'],['cardiovascular disease'],['other'],other,0.04881812303366865,1.579,-12,11.801617875695229
FINNGEN_R12_I9_PROGVASC,['EFO_0007455'],['progressive multifocal leukoencephalopathy'],['EFO_0005741'],infectious disease,0.32758457337441477,1.612,-9,8.792634963989258
FINNGEN_R12_J10_ASTHMA_EXMORE,['MONDO_0004979'],['asthma'],['OTAR_0000010'],respiratory or thoracic disease,-0.06108962532845896,8.287,-14,13.081602692604065
FINNGEN_R12_J10_ASTHMA_MAIN_EXMORE,['MONDO_0004979'],['asthma'],['OTAR_0000010'],respiratory or thoracic disease,-0.058203296018923455,8.906,-11,10.050317287445068
FINNGEN_R12_J10_BRONCHITIS,['HP_0012388'],['Acute bronchitis'],['other'],other,-0.07342332975102217,8.084,-9,8.092373728752136
FINNGEN_R12_J10_LOWERINF,['MONDO_0024355'],['respiratory tract infectious disorder'],['EFO_0005741'],infectious disease,-0.06557163472597816,2.083,-9,8.68131074309349
FINNGEN_R12_K11_CHOLELITH,['EFO_0004799'],['cholelithiasis'],['EFO_0010282'],gastrointestinal disease,-0.050980909577359054,1.907,-9,8.719649314880371
FINNGEN_R12_KRA_PSY_ANYMENTAL,['EFO_0000677'],['mental or behavioural disorder'],['EFO_0000618'],nervous system disease,0.14319698919319376,2.767,-140,139.5579908490181
FINNGEN_R12_KRA_PSY_DEMENTIA_EXMORE,['HP_0000726'],['Dementia'],['other'],other,0.47663034843493174,2.225,-308,307.6526699960232
FINNGEN_R12_KRA_PSY_SUBSTANCE_EXMORE,['MONDO_0002491'],['substance abuse'],['MONDO_0002025'],psychiatric disorder,0.06493011830888795,1.106,-9,8.956244893372059
FINNGEN_R12_M13_LOWBACKPAINORANDSCIATICA,"['HP_0003419', 'HP_0011868']","['Low back pain', 'Sciatica']",['EFO_0003765'],sign or symptom,-0.044777791377772574,9.762,-9,8.010461211204529
FINNGEN_R12_MEMLOSS,['EFO_0001072'],['memory impairment'],['other'],other,0.40899494446931833,1.001,-39,38.99956590225338
FINNGEN_R12_NEURODEGOTH,['EFO_0005772'],['neurodegenerative disease'],['EFO_0000618'],nervous system disease,0.5046364242972053,2.225,-308,307.6526699960232
FINNGEN_R12_PD_DEMENTIA_EXMORE,['HP_0000726'],['Dementia'],['other'],other,0.3909169837238606,2.345,-9,8.629857152700424
FINNGEN_R12_PULM_INFECTIONS,['EFO_1001406'],['Prosthesis-Related Infections'],['EFO_0005741'],infectious disease,-0.03158050065271559,5.775,-9,8.238448023796082
FINNGEN_R12_RX_CODEINE_TRAMADOL,"['GO_0009410', 'EFO_0003843']","['response to xenobiotic stimulus', 'pain']","['other', 'EFO_0003765']",other,-0.05616512188975809,1.274,-16,15.89483055472374
FINNGEN_R12_RX_CODEINE_TRAMADOL,"['GO_0009410', 'EFO_0003843']","['response to xenobiotic stimulus', 'pain']","['other', 'EFO_0003765']",sign or symptom,-0.05616512188975809,1.274,-16,15.89483055472374
FINNGEN_R12_RX_CROHN_1STLINE,['EFO_0000384'],"[""Crohn's disease""]",['EFO_0000540'],immune system disease,-0.04848681825165658,5.544,-15,14.256176769733429
FINNGEN_R12_RX_STATIN,['GO_0036273'],['response to statin'],['other'],other,0.19766894466495558,2.225,-308,307.6526699960232
FINNGEN_R12_T2D_WIDE,['MONDO_0005148'],['type 2 diabetes mellitus'],['EFO_0009605'],pancreas disease,-0.07768146657424108,1.265,-21,20.897909477353096
FINNGEN_R12_VD_MI,['MONDO_0043224'],['multi-infarct dementia'],['EFO_0000319'],cardiovascular disease,0.6509773752757974,1.852,-19,18.732359021902084
FINNGEN_R12_VD_MX,['EFO_0004718'],['vascular dementia'],['EFO_0000319'],cardiovascular disease,0.5368618190433267,5.732,-12,11.24169385433197
FINNGEN_R12_VD_SC,['EFO_0004718'],['vascular dementia'],['EFO_0000319'],cardiovascular disease,0.6147805192432119,4.656,-28,27.331987023353577
FINNGEN_R12_VD_U,['EFO_0004718'],['vascular dementia'],['EFO_0000319'],cardiovascular disease,0.6562079781824748,7.325,-50,49.13519239425659
FINNGEN_R12_WET_AMD,['EFO_0004683'],['wet macular degeneration'],['MONDO_0024458'],disorder of visual system,-0.19163260926613215,5.224,-18,17.281996846199036
