maxMAF_bin,observed_mean,observed_sem,predicted_full_mean,predicted_full_sem,predicted_no_power_mean,predicted_no_power_sem
0-0.01,1.909274193548387,0.12901924293882666,2.3690726200171177,0.07838869587172072,3.162843084314385,0.10982167889349928
0.01-0.05,1.786256323777403,0.06143811528136492,1.8656151393747562,0.02685450588029192,1.955717223303721,0.02700215654696921
0.05-0.1,1.9271558650241027,0.07187223299246331,1.8499864893100868,0.029193712622652686,1.7679424074182992,0.01733429895186547
0.1-0.2,1.937092660810428,0.049900509588236226,1.9137965279266698,0.02047908639101514,1.809800790860123,0.010303789082194056
0.2-0.3,2.174648620510151,0.05980552523207608,2.0804025641164428,0.02166242092808987,2.0264658624720453,0.010248893902868018
0.3-0.4,2.270235324540988,0.05522901364723673,2.2700349160101725,0.023376666718774232,2.293067666111358,0.010311941526174383
0.4-0.5,2.571182689943447,0.08764955448426157,2.526762635598788,0.02534773277785879,2.605974736982248,0.010246496432177536
